post,sentiment,url,published_date,published_time,price_xrp,compound
XRP Overtakes Tether to Become World’s #3 Crypto,neutral,https://cryptopanic.com/news/20353025/XRP-Overtakes-Tether-to-Become-Worlds-3-Crypto?mtm_campaign=API-OFA,12/02/2024,8:48:52,2.7245,0.0
"Ripple’s market cap hits record high of $140B, flips Tether and Solana to become third most valuable crypto asset",positive,https://cryptopanic.com/news/20351924/Ripples-market-cap-hits-record-high-of-140B-flips-Tether-and-Solana-to-become-third-most-valuable-crypto-asset?mtm_campaign=API-OFA,12/02/2024,2:32:21,2.7245,0.7316
Cardano’s Hoskinson Calls for Crypto Unity Against Operation Chokepoint 2.0,neutral,https://cryptopanic.com/news/20351332/Cardanos-Hoskinson-Calls-for-Crypto-Unity-Against-Operation-Chokepoint-20?mtm_campaign=API-OFA,12/01/2024,19:00:00,2.2937,0.0
"Cardano’s Charles Hoskinson apologizes to rival ecosystems, calls for unity in 2025",neutral,https://cryptopanic.com/news/20350835/Cardanos-Charles-Hoskinson-apologizes-to-rival-ecosystems-calls-for-unity-in-2025?mtm_campaign=API-OFA,12/01/2024,13:52:43,2.2937,0.3612
XRP Eyes $2 Milestone After Surging 267% in Historic Rally,neutral,https://cryptopanic.com/news/20350046/XRP-Eyes-2-Milestone-After-Surging-267-in-Historic-Rally?mtm_campaign=API-OFA,12/01/2024,6:00:50,2.2937,0.0
Ripple (XRP) Price Up Over 10% in 24 Hours: Why is it Pumping?,neutral,https://cryptopanic.com/news/20349417/Ripple-XRP-Price-Up-Over-10-in-24-Hours-Why-is-it-Pumping?mtm_campaign=API-OFA,11/30/2024,19:30:00,1.9513,0.0
Why Xrp Price is Up today? How High Will XRP Go?,positive,https://cryptopanic.com/news/20348033/Why-Xrp-Price-is-Up-today-How-High-Will-XRP-Go?mtm_campaign=API-OFA,11/30/2024,8:17:18,1.9513,0.0
XRP Market Cap Officially Surpasses $100 Billion,neutral,https://cryptopanic.com/news/20347733/XRP-Market-Cap-Officially-Surpasses-100-Billion?mtm_campaign=API-OFA,11/30/2024,4:50:52,1.9513,0.0
XRP Will Overtake Ethereum By 2028: Standard Chartered,neutral,https://cryptopanic.com/news/20964396/XRP-Will-Overtake-Ethereum-By-2028-Standard-Chartered?mtm_campaign=API-OFA,04/08/2025,12:26:16,1.7963,0.0
XRP network activity collapses 65%,neutral,https://cryptopanic.com/news/20928911/XRP-network-activity-collapses-65?mtm_campaign=API-OFA,04/04/2025,19:23:00,2.1302,-0.296
Kraken Announces Support for RLUSD As Stablecoin Integrates Into Ripple’s Payment’s Network,neutral,https://cryptopanic.com/news/20912158/Kraken-Announces-Support-for-RLUSD-As-Stablecoin-Integrates-Into-Ripples-Payments-Network?mtm_campaign=API-OFA,04/02/2025,18:41:22,2.0237,0.4019
"XRP Might Drop Below $2, Goldman Sachs Makes Key Fed Prediction, Ripple's RLUSD Flips Major Stablecoins in This Key Metric: Crypto News Digest by U.Today",neutral,https://cryptopanic.com/news/20905184/XRP-Might-Drop-Below-2-Goldman-Sachs-Makes-Key-Fed-Prediction-Ripples-RLUSD-Flips-Major-Stablecoins-in-This-Key-Metric-Crypto-News-Digest-by-UToday?mtm_campaign=API-OFA,04/01/2025,16:22:00,2.1387,-0.2732
XRP ETF Incoming? Analyst Says Ripple’s Legal Win Changes Everything,positive,https://cryptopanic.com/news/20875440/XRP-ETF-Incoming-Analyst-Says-Ripples-Legal-Win-Changes-Everything?mtm_campaign=API-OFA,03/26/2025,7:53:52,2.3494,0.6486
XRP Price Prediction: Analysts now eye $10 by 2030,neutral,https://cryptopanic.com/news/20869129/XRP-Price-Prediction-Analysts-now-eye-10-by-2030?mtm_campaign=API-OFA,03/25/2025,0:34:59,2.4492,0.0
XRP ETF Approval Date Nears,neutral,https://cryptopanic.com/news/20862671/XRP-ETF-Approval-Date-Nears?mtm_campaign=API-OFA,03/23/2025,12:30:00,2.4393,0.4767
Wall Street Legend Predicts Massive XRP Market Boom with this Surprising Milkshake Theory,positive,https://cryptopanic.com/news/20850872/Wall-Street-Legend-Predicts-Massive-XRP-Market-Boom-with-this-Surprising-Milkshake-Theory?mtm_campaign=API-OFA,03/20/2025,11:00:48,2.4361,0.3346
XRP Stumbles—But Analysts Still See A Path To $70,neutral,https://cryptopanic.com/news/20843334/XRP-StumblesBut-Analysts-Still-See-A-Path-To-70?mtm_campaign=API-OFA,03/18/2025,22:30:56,2.2851,0.0
Proposal on SEC website suggests XRP as a strategic asset for US financial system,neutral,https://cryptopanic.com/news/20832665/Proposal-on-SEC-website-suggests-XRP-as-a-strategic-asset-for-US-financial-system?mtm_campaign=API-OFA,03/16/2025,16:07:53,2.2938,0.3612
Ripple moves $465 million of March’s sell reserve; Will XRP price suffer?,neutral,https://cryptopanic.com/news/20826963/Ripple-moves-465-million-of-Marchs-sell-reserve-Will-XRP-price-suffer?mtm_campaign=API-OFA,03/14/2025,15:03:22,2.3564,-0.5423
"BlackRock will file for both Solana and XRP ETFs, Nate Geraci",neutral,https://cryptopanic.com/news/20826694/BlackRock-will-file-for-both-Solana-and-XRP-ETFs-Nate-Geraci?mtm_campaign=API-OFA,03/14/2025,14:13:32,2.3564,0.0
SEC website posts document naming XRP as a strategic asset for U.S.,neutral,https://cryptopanic.com/news/20825816/SEC-website-posts-document-naming-XRP-as-a-strategic-asset-for-US?mtm_campaign=API-OFA,03/14/2025,11:14:55,2.3564,0.3612
"SEC May Reclassify XRP as Commodity, Boosting Market Hopes",neutral,https://cryptopanic.com/news/20825054/SEC-May-Reclassify-XRP-as-Commodity-Boosting-Market-Hopes?mtm_campaign=API-OFA,03/14/2025,7:59:58,2.3564,0.6369
XRP News: New Proposal Seeks SEC Settlement with Ripple by Classifying XRP as a Payment Network,neutral,https://cryptopanic.com/news/20824386/XRP-News-New-Proposal-Seeks-SEC-Settlement-with-Ripple-by-Classifying-XRP-as-a-Payment-Network?mtm_campaign=API-OFA,03/14/2025,3:22:53,2.3564,0.0
"$1,500,000,000,000 Asset Manager Franklin Templeton Files for XRP ETF",neutral,https://cryptopanic.com/news/20823024/1500000000000-Asset-Manager-Franklin-Templeton-Files-for-XRP-ETF?mtm_campaign=API-OFA,03/13/2025,18:45:44,2.2527,0.3612
SEC considers classifying XRP as commodity in settlement talks with Ripple,neutral,https://cryptopanic.com/news/20822779/SEC-considers-classifying-XRP-as-commodity-in-settlement-talks-with-Ripple?mtm_campaign=API-OFA,03/13/2025,17:53:17,2.2527,0.0
XRP Transfers Explode Past $5 Billion In 24 Hours as Wallets Surge over 600%,negative,https://cryptopanic.com/news/20801260/XRP-Transfers-Explode-Past-5-Billion-In-24-Hours-as-Wallets-Surge-over-600?mtm_campaign=API-OFA,03/09/2025,14:05:10,2.1387,0.0
"US Government Will Only Buy Bitcoin, Not ETH, XRP, SOL and ADA",neutral,https://cryptopanic.com/news/20784163/US-Government-Will-Only-Buy-Bitcoin-Not-ETH-XRP-SOL-and-ADA?mtm_campaign=API-OFA,03/05/2025,12:10:39,2.4998,0.0
"XRP: 24% Retrace is Mind-Blowing, Ethereum (ETH) Looks Even Worse Than Before, Cardano (ADA): Biggest Volatility Surge in Years",negative,https://cryptopanic.com/news/20781362/XRP-24-Retrace-is-Mind-Blowing-Ethereum-ETH-Looks-Even-Worse-Than-Before-Cardano-ADA-Biggest-Volatility-Surge-in-Years?mtm_campaign=API-OFA,03/05/2025,0:01:00,2.4998,-0.4767
Cardano Rallies 43% In Seven Days: What Is Going On With ADA?,neutral,https://cryptopanic.com/news/20780686/Cardano-Rallies-43-In-Seven-Days-What-Is-Going-On-With-ADA?mtm_campaign=API-OFA,03/04/2025,20:03:51,2.4543,0.0
Why XRP and ADA don’t deserve to be on Trump’s Strategic Crypto Reserve,neutral,https://cryptopanic.com/news/20774538/Why-XRP-and-ADA-dont-deserve-to-be-on-Trumps-Strategic-Crypto-Reserve?mtm_campaign=API-OFA,03/03/2025,18:14:25,2.3873,0.0
Ripple prepares for what could be a $795 million XRP sale in March,neutral,https://cryptopanic.com/news/20772891/Ripple-prepares-for-what-could-be-a-795-million-XRP-sale-in-March?mtm_campaign=API-OFA,03/03/2025,12:50:39,2.3873,0.0
"Trump Announces US Crypto Reserve with XRP, Solana, and Cardano",neutral,https://cryptopanic.com/news/20771576/Trump-Announces-US-Crypto-Reserve-with-XRP-Solana-and-Cardano?mtm_campaign=API-OFA,03/03/2025,8:27:59,2.3873,0.0
"President Trump Reveals U.S. Crypto Reserve Bombshell — Sending BTC, ETH, Ripple’s XRP, Solana, And Cardano Rocketing",neutral,https://cryptopanic.com/news/20770004/President-Trump-Reveals-US-Crypto-Reserve-Bombshell-Sending-BTC-ETH-Ripples-XRP-Solana-And-Cardano-Rocketing?mtm_campaign=API-OFA,03/02/2025,19:31:52,2.9396,0.0
Ripple’s XRP Bulls Show Dominant Presence as Bears Get Rejected at Major 2017-2018 Support Level,neutral,https://cryptopanic.com/news/20769950/Ripples-XRP-Bulls-Show-Dominant-Presence-as-Bears-Get-Rejected-at-Major-2017-2018-Support-Level?mtm_campaign=API-OFA,03/02/2025,19:10:28,2.9396,-0.1531
"Bitcoin Will Explode Over $120,000 on Monday as ETF Demand Skyrockets Amid Trump’s BTC Reserve Announcement",neutral,https://cryptopanic.com/news/20769674/Bitcoin-Will-Explode-Over-120000-on-Monday-as-ETF-Demand-Skyrockets-Amid-Trumps-BTC-Reserve-Announcement?mtm_campaign=API-OFA,03/02/2025,17:20:45,2.9396,-0.128
"Breaking: Trump Announces U.S. Crypto Strategic Reserve Including XRP, SOL, ADA, BTC, and ETH",neutral,https://cryptopanic.com/news/20769643/Breaking-Trump-Announces-US-Crypto-Strategic-Reserve-Including-XRP-SOL-ADA-BTC-and-ETH?mtm_campaign=API-OFA,03/02/2025,17:11:40,2.9396,0.0
Trump says Bitcoin and Ethereum will be included in US crypto reserve,neutral,https://cryptopanic.com/news/20769569/Trump-says-Bitcoin-and-Ethereum-will-be-included-in-US-crypto-reserve?mtm_campaign=API-OFA,03/02/2025,16:46:55,2.9396,0.0
"President Trump announces a Crypto Strategic Reserve that includes XRP, SOL, and ADA",neutral,https://cryptopanic.com/news/20769419/President-Trump-announces-a-Crypto-Strategic-Reserve-that-includes-XRP-SOL-and-ADA?mtm_campaign=API-OFA,03/02/2025,16:01:45,2.9396,0.0
"Trump directs working group to ‘move forward’ on SOL, XRP, and ADA Crypto Strategic Reserve",neutral,https://cryptopanic.com/news/20769328/Trump-directs-working-group-to-move-forward-on-SOL-XRP-and-ADA-Crypto-Strategic-Reserve?mtm_campaign=API-OFA,03/02/2025,15:47:32,2.9396,0.0
"Trump to include XRP, SOL, and ADA in US crypto reserve",neutral,https://cryptopanic.com/news/20769299/Trump-to-include-XRP-SOL-and-ADA-in-US-crypto-reserve?mtm_campaign=API-OFA,03/02/2025,15:34:02,2.9396,0.0
XRP News Today: Ripple now partners up with BDACS,neutral,https://cryptopanic.com/news/20759718/XRP-News-Today-Ripple-now-partners-up-with-BDACS?mtm_campaign=API-OFA,02/28/2025,0:39:05,2.1453,0.0
XRP Ledger unveils institutional DeFi roadmap,neutral,https://cryptopanic.com/news/20752603/XRP-Ledger-unveils-institutional-DeFi-roadmap?mtm_campaign=API-OFA,02/26/2025,18:46:49,2.1982,0.0
WisdomTree XRP ETF countdown begins as Federal Register publishes filing,neutral,https://cryptopanic.com/news/20752580/WisdomTree-XRP-ETF-countdown-begins-as-Federal-Register-publishes-filing?mtm_campaign=API-OFA,02/26/2025,18:43:37,2.1982,0.0
Litecoin (LTC) on Verge of Repeating XRP and Solana (SOL) Success,positive,https://cryptopanic.com/news/20728220/Litecoin-LTC-on-Verge-of-Repeating-XRP-and-Solana-SOL-Success?mtm_campaign=API-OFA,02/21/2025,9:36:00,2.5721,0.5719
Are XRP and DOGE Preparing for 25% Price Moves?,neutral,https://cryptopanic.com/news/20724564/Are-XRP-and-DOGE-Preparing-for-25-Price-Moves?mtm_campaign=API-OFA,02/20/2025,15:10:57,2.6877,0.0
First-Ever Spot XRP ETF Gets Green Light in Brazil,neutral,https://cryptopanic.com/news/20721057/First-Ever-Spot-XRP-ETF-Gets-Green-Light-in-Brazil?mtm_campaign=API-OFA,02/20/2025,0:16:02,2.6877,0.0
SEC seeks public comments for WisdomTree’s proposal for an XRP ETF,neutral,https://cryptopanic.com/news/20720082/SEC-seeks-public-comments-for-WisdomTrees-proposal-for-an-XRP-ETF?mtm_campaign=API-OFA,02/19/2025,19:13:22,2.7378,0.0
World’s first XRP spot ETF to debut on Brazil’s leading stock exchange,positive,https://cryptopanic.com/news/20719659/Worlds-first-XRP-spot-ETF-to-debut-on-Brazils-leading-stock-exchange?mtm_campaign=API-OFA,02/19/2025,17:28:08,2.7378,0.0
"Donald Trump turns pro-XRP, shares Ripple Labs reports on Truth Social",neutral,https://cryptopanic.com/news/20718580/Donald-Trump-turns-pro-XRP-shares-Ripple-Labs-reports-on-Truth-Social?mtm_campaign=API-OFA,02/19/2025,14:00:23,2.7378,0.5423
SEC Acknowledges Bitwise XRP ETF Filing—Approval Within Reach?,neutral,https://cryptopanic.com/news/20718471/SEC-Acknowledges-Bitwise-XRP-ETF-FilingApproval-Within-Reach?mtm_campaign=API-OFA,02/19/2025,13:49:10,2.7378,0.0258
SEC acknowledges spot XRP ETF filing from Bitwise,neutral,https://cryptopanic.com/news/20714430/SEC-acknowledges-spot-XRP-ETF-filing-from-Bitwise?mtm_campaign=API-OFA,02/18/2025,19:06:28,2.5628,0.0
