post,sentiment,url,published_date,published_time,price_btc,compound
Mastercard Plans to Enable 3.5 Billion Cardholders to Transact with Bitcoin ($BTC) and Crypto,neutral,https://cryptopanic.com/news/20904044/Mastercard-Plans-to-Enable-35-Billion-Cardholders-to-Transact-with-Bitcoin-BTC-and-Crypto?mtm_campaign=API-OFA,01/04/2025,13:05:07,85158.34,0.0
U.S. Senator Buys $600K in Bitcoin via ETF,neutral,https://cryptopanic.com/news/20900725/US-Senator-Buys-600K-in-Bitcoin-via-ETF?mtm_campaign=API-OFA,31/03/2025,19:59:40,82550.01,0.0
Ethereum-Bitcoin Ratio Drops To Five-Year Low,neutral,https://cryptopanic.com/news/20899546/Ethereum-Bitcoin-Ratio-Drops-To-Five-Year-Low?mtm_campaign=API-OFA,31/03/2025,15:04:17,82550.01,-0.2732
"Strategy announces another purchase of 22,048 BTC",neutral,https://cryptopanic.com/news/20899127/Strategy-announces-another-purchase-of-22048-BTC?mtm_campaign=API-OFA,31/03/2025,13:51:49,82550.01,0.0
Altcoins see inflows for first time in 5 weeks as ‘positive but cautious’ investors add $226 million to global crypto funds: CoinShares,positive,https://cryptopanic.com/news/20898099/Altcoins-see-inflows-for-first-time-in-5-weeks-as-positive-but-cautious-investors-add-226-million-to-global-crypto-funds-CoinShares?mtm_campaign=API-OFA,31/03/2025,10:35:49,82550.01,0.0
Bukele May Visit Trump as Bitcoin Goals Align,neutral,https://cryptopanic.com/news/20897549/Bukele-May-Visit-Trump-as-Bitcoin-Goals-Align?mtm_campaign=API-OFA,31/03/2025,8:33:12,82550.01,0.0
"Hoskinson Reveals Cardano’s Push to Integrate with Dogecoin, Chainlink, Bitcoin",neutral,https://cryptopanic.com/news/20894182/Hoskinson-Reveals-Cardanos-Push-to-Integrate-with-Dogecoin-Chainlink-Bitcoin?mtm_campaign=API-OFA,30/03/2025,2:05:53,82389.99,0.0
US States Push Bitcoin Bills to Boost Reserves and Crypto Mining,neutral,https://cryptopanic.com/news/20880852/US-States-Push-Bitcoin-Bills-to-Boost-Reserves-and-Crypto-Mining?mtm_campaign=API-OFA,27/03/2025,7:56:39,87232.01,0.4019
XRP ETF Incoming? Analyst Says Ripple’s Legal Win Changes Everything,positive,https://cryptopanic.com/news/20875440/XRP-ETF-Incoming-Analyst-Says-Ripples-Legal-Win-Changes-Everything?mtm_campaign=API-OFA,26/03/2025,7:53:52,86909.17,0.6486
Michael Saylor hints at new Bitcoin purchase after $711M capital raise,positive,https://cryptopanic.com/news/20863577/Michael-Saylor-hints-at-new-Bitcoin-purchase-after-711M-capital-raise?mtm_campaign=API-OFA,23/03/2025,20:05:18,86082.5,0.0
"IMF Adds Bitcoin to Reserves, Tracks It as Digital Gold and Capital Asset",neutral,https://cryptopanic.com/news/20863359/IMF-Adds-Bitcoin-to-Reserves-Tracks-It-as-Digital-Gold-and-Capital-Asset?mtm_campaign=API-OFA,23/03/2025,17:35:15,86082.5,0.3612
"Senator Lummis Proposes U.S. Sell Gold to Buy 200,000 Bitcoin Annually for Five Years, Totaling 1 Million Bitcoin",neutral,https://cryptopanic.com/news/20860568/Senator-Lummis-Proposes-US-Sell-Gold-to-Buy-200000-Bitcoin-Annually-for-Five-Years-Totaling-1-Million-Bitcoin?mtm_campaign=API-OFA,22/03/2025,13:05:15,83840.59,0.0
Michael Saylor says Europe’s Euro is ‘gonna need BTC’,neutral,https://cryptopanic.com/news/20853810/Michael-Saylor-says-Europes-Euro-is-gonna-need-BTC?mtm_campaign=API-OFA,20/03/2025,21:50:03,84223.39,0.0
"Staking for ether ETFs gathers steam as BlackRock talks up potential, NYSE files on behalf of Bitwise fund",neutral,https://cryptopanic.com/news/20853506/Staking-for-ether-ETFs-gathers-steam-as-BlackRock-talks-up-potential-NYSE-files-on-behalf-of-Bitwise-fund?mtm_campaign=API-OFA,20/03/2025,20:04:47,84223.39,0.0
"Solana futures ETFs go live tomorrow, bringing spot ETF one step closer",positive,https://cryptopanic.com/news/20847689/Solana-futures-ETFs-go-live-tomorrow-bringing-spot-ETF-one-step-closer?mtm_campaign=API-OFA,19/03/2025,17:56:41,86845.94,0.0
Strategy Announces New Preferred Stock Offering to Fund Bitcoin Purchases,positive,https://cryptopanic.com/news/20841104/Strategy-Announces-New-Preferred-Stock-Offering-to-Fund-Bitcoin-Purchases?mtm_campaign=API-OFA,18/03/2025,13:24:22,82715.03,0.0
Global Crackdown on Bitcoin ATMs Gains Momentum,neutral,https://cryptopanic.com/news/20839601/Global-Crackdown-on-Bitcoin-ATMs-Gains-Momentum?mtm_campaign=API-OFA,18/03/2025,8:16:28,82715.03,0.34
Kentucky Passes Bill Protecting Bitcoin Self-Custody and Mining,neutral,https://cryptopanic.com/news/20834639/Kentucky-Passes-Bill-Protecting-Bitcoin-Self-Custody-and-Mining?mtm_campaign=API-OFA,17/03/2025,9:20:24,84010.03,0.0
Most US Voters Oppose Trump’s National Bitcoin Reserve Plan,positive,https://cryptopanic.com/news/20834638/Most-US-Voters-Oppose-Trumps-National-Bitcoin-Reserve-Plan?mtm_campaign=API-OFA,17/03/2025,9:17:25,84010.03,0.0
Trump-backed World Liberty Financial buys AVAX and MNT for $4M as total portfolio losses reach $118M,neutral,https://cryptopanic.com/news/20831805/Trump-backed-World-Liberty-Financial-buys-AVAX-and-MNT-for-4M-as-total-portfolio-losses-reach-118M?mtm_campaign=API-OFA,16/03/2025,9:24:40,82574.53,0.2023
Trump Admin Wants to Acquire as Much Bitcoin as Possible: White House,neutral,https://cryptopanic.com/news/20823549/Trump-Admin-Wants-to-Acquire-as-Much-Bitcoin-as-Possible-White-House?mtm_campaign=API-OFA,13/03/2025,21:26:41,81115.78,0.0
"Bitcoin Price Crash Incoming? Why A Fall To $63,000 Is Possible If This Resistance Holds",neutral,https://cryptopanic.com/news/20797290/Bitcoin-Price-Crash-Incoming-Why-A-Fall-To-63000-Is-Possible-If-This-Resistance-Holds?mtm_campaign=API-OFA,07/03/2025,23:00:45,86801.75,-0.4019
Trump’s Treasury Secretary Scott Bessent says Bitcoin acquisition plans are in discussion,neutral,https://cryptopanic.com/news/20795111/Trumps-Treasury-Secretary-Scott-Bessent-says-Bitcoin-acquisition-plans-are-in-discussion?mtm_campaign=API-OFA,07/03/2025,13:33:46,86801.75,0.2023
"US Government Will Only Buy Bitcoin, Not ETH, XRP, SOL and ADA",neutral,https://cryptopanic.com/news/20784163/US-Government-Will-Only-Buy-Bitcoin-Not-ETH-XRP-SOL-and-ADA?mtm_campaign=API-OFA,05/03/2025,12:10:39,90606.01,0.0
ADA and LINK Steal the Show as BTC Eyes $90K (Market Watch),neutral,https://cryptopanic.com/news/20783012/ADA-and-LINK-Steal-the-Show-as-BTC-Eyes-90K-Market-Watch?mtm_campaign=API-OFA,05/03/2025,9:14:51,90606.01,-0.4939
"El Salvador buys Bitcoin dip, adding 5 BTC amid price plunge to $83,000",neutral,https://cryptopanic.com/news/20776951/El-Salvador-buys-Bitcoin-dip-adding-5-BTC-amid-price-plunge-to-83000?mtm_campaign=API-OFA,04/03/2025,7:23:15,87281.98,0.0
Why XRP and ADA don’t deserve to be on Trump’s Strategic Crypto Reserve,neutral,https://cryptopanic.com/news/20774538/Why-XRP-and-ADA-dont-deserve-to-be-on-Trumps-Strategic-Crypto-Reserve?mtm_campaign=API-OFA,03/03/2025,18:14:25,86220.61,0.0
"President Trump Reveals U.S. Crypto Reserve Bombshell — Sending BTC, ETH, Ripple’s XRP, Solana, And Cardano Rocketing",neutral,https://cryptopanic.com/news/20770004/President-Trump-Reveals-US-Crypto-Reserve-Bombshell-Sending-BTC-ETH-Ripples-XRP-Solana-And-Cardano-Rocketing?mtm_campaign=API-OFA,02/03/2025,19:31:52,94270.0,0.0
"MICHAEL SAYLOR: ""Bitcoin is the foundation of the crypto economy.""",neutral,https://cryptopanic.com/news/20769970/MICHAEL-SAYLOR-Bitcoin-is-the-foundation-of-the-crypto-economy?mtm_campaign=API-OFA,02/03/2025,19:14:12,94270.0,0.0
"Bitcoin Will Explode Over $120,000 on Monday as ETF Demand Skyrockets Amid Trump’s BTC Reserve Announcement",neutral,https://cryptopanic.com/news/20769674/Bitcoin-Will-Explode-Over-120000-on-Monday-as-ETF-Demand-Skyrockets-Amid-Trumps-BTC-Reserve-Announcement?mtm_campaign=API-OFA,02/03/2025,17:20:45,94270.0,-0.128
"Breaking: Trump Announces U.S. Crypto Strategic Reserve Including XRP, SOL, ADA, BTC, and ETH",neutral,https://cryptopanic.com/news/20769643/Breaking-Trump-Announces-US-Crypto-Strategic-Reserve-Including-XRP-SOL-ADA-BTC-and-ETH?mtm_campaign=API-OFA,02/03/2025,17:11:40,94270.0,0.0
Trump says Bitcoin and Ethereum will be included in US crypto reserve,neutral,https://cryptopanic.com/news/20769569/Trump-says-Bitcoin-and-Ethereum-will-be-included-in-US-crypto-reserve?mtm_campaign=API-OFA,02/03/2025,16:46:55,94270.0,0.0
"Trump directs working group to ‘move forward’ on SOL, XRP, and ADA Crypto Strategic Reserve",neutral,https://cryptopanic.com/news/20769328/Trump-directs-working-group-to-move-forward-on-SOL-XRP-and-ADA-Crypto-Strategic-Reserve?mtm_campaign=API-OFA,02/03/2025,15:47:32,94270.0,0.0
El Salvador continues to buy the Bitcoin dip adding to its National Reserve,neutral,https://cryptopanic.com/news/20768374/El-Salvador-continues-to-buy-the-Bitcoin-dip-adding-to-its-National-Reserve?mtm_campaign=API-OFA,02/03/2025,8:10:29,94270.0,0.0
Bitcoin Legislation Advances: Arizona Moves Closer to Crypto Reserves,neutral,https://cryptopanic.com/news/20760976/Bitcoin-Legislation-Advances-Arizona-Moves-Closer-to-Crypto-Reserves?mtm_campaign=API-OFA,28/02/2025,8:29:28,84349.94,0.0
"Texas Bitcoin Reserve Bill Advances, Faces Senate Vote",neutral,https://cryptopanic.com/news/20760937/Texas-Bitcoin-Reserve-Bill-Advances-Faces-Senate-Vote?mtm_campaign=API-OFA,28/02/2025,8:18:47,84349.94,0.0
"Bitcoin Poised to Rebound Above $105,000 in March as Trump Delays Tariffs Until April",neutral,https://cryptopanic.com/news/20757163/Bitcoin-Poised-to-Rebound-Above-105000-in-March-as-Trump-Delays-Tariffs-Until-April?mtm_campaign=API-OFA,27/02/2025,14:27:43,84708.58,0.25
Strategy Makes Largest Bitcoin Purchase of 2025 with $2B Investment,neutral,https://cryptopanic.com/news/20744007/Strategy-Makes-Largest-Bitcoin-Purchase-of-2025-with-2B-Investment?mtm_campaign=API-OFA,25/02/2025,8:04:40,88680.4,0.0
GOP Divisions Threaten State-Level Bitcoin Reserve Bills,neutral,https://cryptopanic.com/news/20743945/GOP-Divisions-Threaten-State-Level-Bitcoin-Reserve-Bills?mtm_campaign=API-OFA,25/02/2025,7:54:28,88680.4,-0.3818
World’s first XRP spot ETF to debut on Brazil’s leading stock exchange,positive,https://cryptopanic.com/news/20719659/Worlds-first-XRP-spot-ETF-to-debut-on-Brazils-leading-stock-exchange?mtm_campaign=API-OFA,19/02/2025,17:28:08,96644.37,0.0
Strategy Plans $2B Stock Sale to Buy More Bitcoin,positive,https://cryptopanic.com/news/20717257/Strategy-Plans-2B-Stock-Sale-to-Buy-More-Bitcoin?mtm_campaign=API-OFA,19/02/2025,10:02:19,96644.37,0.0
"XRP Set To Outshine Gold? Analyst Predicts 1,000% Surge",neutral,https://cryptopanic.com/news/20709274/XRP-Set-To-Outshine-Gold-Analyst-Predicts-1000-Surge?mtm_campaign=API-OFA,17/02/2025,21:00:12,95780.0,0.0
"Banking Giant JPMorgan Chase Holds $1,016,728 in Bitcoin and Ethereum ETFs, According to New SEC Filing",neutral,https://cryptopanic.com/news/20708787/Banking-Giant-JPMorgan-Chase-Holds-1016728-in-Bitcoin-and-Ethereum-ETFs-According-to-New-SEC-Filing?mtm_campaign=API-OFA,17/02/2025,17:55:54,95780.0,0.0
"$ETH ""Fun"" Fact:

If ETH were to still trade at the same ETH/BTC ratio as it did after the FTX Collapse &amp; 2022 Bear Market Bottom, it would now be valued at $7K+.

That's if it just kept up with $BTC's pace.",positive,https://cryptopanic.com/news/20705979/ETH-Fun-Fact-If-ETH-were-to-still-trade-at-the-same-ETHBTC-ratio-as-it-did-after-the-FTX-Collapse-amp-2022-Bear-Market-Bottom-it-would-now-be-valued-at-7K-Thats-if-it-just-kept-up-with-BTCs-pace?mtm_campaign=API-OFA,17/02/2025,8:01:00,95780.0,-0.0772
Abu Dhabi’s Mubadala Invests $436M in BlackRock’s Bitcoin ETF,neutral,https://cryptopanic.com/news/20705900/Abu-Dhabis-Mubadala-Invests-436M-in-BlackRocks-Bitcoin-ETF?mtm_campaign=API-OFA,17/02/2025,7:31:40,95780.0,0.0
Senator Lummis Leads Push for Bitcoin in U.S. Economy,neutral,https://cryptopanic.com/news/20701931/Senator-Lummis-Leads-Push-for-Bitcoin-in-US-Economy?mtm_campaign=API-OFA,15/02/2025,17:06:27,97569.66,0.0
North Carolina: proposal advances to invest 10% of public funds in Bitcoin,neutral,https://cryptopanic.com/news/21121304/North-Carolina-proposal-advances-to-invest-10-of-public-funds-in-Bitcoin?mtm_campaign=API-OFA,17/04/2025,7:13:10,84947.91,0.0
Ethereum Is What Bitcoin Was Meant to Be,neutral,https://cryptopanic.com/news/21110810/Ethereum-Is-What-Bitcoin-Was-Meant-to-Be?mtm_campaign=API-OFA,16/04/2025,15:44:47,84030.38,0.0
"MicroStrategy Acquires 3,459 Bitcoins for $285.8 Million, Total Holdings Reach 531,644 BTC",neutral,https://cryptopanic.com/news/21072568/MicroStrategy-Acquires-3459-Bitcoins-for-2858-Million-Total-Holdings-Reach-531644-BTC?mtm_campaign=API-OFA,14/04/2025,14:30:40,84591.58,0.0258
Saylor signals new Bitcoin buy after Strategy reports nearly $6 billion Q1 unrealized loss,positive,https://cryptopanic.com/news/21056879/Saylor-signals-new-Bitcoin-buy-after-Strategy-reports-nearly-6-billion-Q1-unrealized-loss?mtm_campaign=API-OFA,13/04/2025,14:44:50,83760.0,-0.3182
Sweden: proposal to include Bitcoin in national reserves,neutral,https://cryptopanic.com/news/21035441/Sweden-proposal-to-include-Bitcoin-in-national-reserves?mtm_campaign=API-OFA,11/04/2025,15:18:14,83423.84,0.0
ETH/BTC Collapse Isn’t the End: Analyst Sees Silent Rebuild,neutral,https://cryptopanic.com/news/21033208/ETHBTC-Collapse-Isnt-the-End-Analyst-Sees-Silent-Rebuild?mtm_campaign=API-OFA,11/04/2025,13:04:59,83423.84,-0.4939
"Charles Hoskinson sees Bitcoin hitting $250K as Big Tech embraces crypto, Fed cut rates, and regulation kicks in",neutral,https://cryptopanic.com/news/21016624/Charles-Hoskinson-sees-Bitcoin-hitting-250K-as-Big-Tech-embraces-crypto-Fed-cut-rates-and-regulation-kicks-in?mtm_campaign=API-OFA,10/04/2025,13:03:47,79607.3,-0.2732
Bitcoin $100K target ‘back on table’ after Trump tariff pause supercharges market sentiment,neutral,https://cryptopanic.com/news/21001821/Bitcoin-100K-target-back-on-table-after-Trump-tariff-pause-supercharges-market-sentiment?mtm_campaign=API-OFA,09/04/2025,20:30:00,82615.22,0.0
China and Russia are using Bitcoin to settle energy trades,neutral,https://cryptopanic.com/news/20998629/China-and-Russia-are-using-Bitcoin-to-settle-energy-trades?mtm_campaign=API-OFA,09/04/2025,17:07:50,82615.22,0.2732
Trump escalates trade war. BTC at 80k,neutral,https://cryptopanic.com/news/20956948/Trump-escalates-trade-war-BTC-at-80k?mtm_campaign=API-OFA,08/04/2025,7:46:31,76322.42,-0.5994
Markets are crashing. Bitcoin at 75k,neutral,https://cryptopanic.com/news/20943186/Markets-are-crashing-Bitcoin-at-75k?mtm_campaign=API-OFA,07/04/2025,7:12:48,79163.24,0.0
"Bitcoin shows signs of decoupling from US equities, could reclaim $100K",neutral,https://cryptopanic.com/news/20931625/Bitcoin-shows-signs-of-decoupling-from-US-equities-could-reclaim-100K?mtm_campaign=API-OFA,05/04/2025,6:10:10,83537.99,0.0
The future of DeFi isn’t on Ethereum — it’s on Bitcoin,neutral,https://cryptopanic.com/news/20926706/The-future-of-DeFi-isnt-on-Ethereum-its-on-Bitcoin?mtm_campaign=API-OFA,04/04/2025,15:00:00,83889.87,0.0
Analyst Warns of Massive Ethereum Drop Against Bitcoin,neutral,https://cryptopanic.com/news/20917668/Analyst-Warns-of-Massive-Ethereum-Drop-Against-Bitcoin?mtm_campaign=API-OFA,03/04/2025,18:00:40,83213.09,-0.3612
Ethereum faces a storm: Could the crypto giant plummet by 91%?,neutral,https://cryptopanic.com/news/20916737/Ethereum-faces-a-storm-Could-the-crypto-giant-plummet-by-91?mtm_campaign=API-OFA,03/04/2025,14:50:56,83213.09,0.0
Trader Says Ethereum Headed for a Massive Crash Against Bitcoin As Bearish Pattern Forms – Here’s His Outlook,neutral,https://cryptopanic.com/news/20915649/Trader-Says-Ethereum-Headed-for-a-Massive-Crash-Against-Bitcoin-As-Bearish-Pattern-Forms-Heres-His-Outlook?mtm_campaign=API-OFA,03/04/2025,11:45:40,83213.09,-0.4019
Analyst Benjamin Cowen warns Ethereum could drop another 50%,neutral,https://cryptopanic.com/news/20911309/Analyst-Benjamin-Cowen-warns-Ethereum-could-drop-another-50?mtm_campaign=API-OFA,02/04/2025,15:27:44,82516.29,-0.3612
GameStop Completes $1.5 Billion Offering to Fund Bitcoin Reserve,neutral,https://cryptopanic.com/news/20906206/GameStop-Completes-15-Billion-Offering-to-Fund-Bitcoin-Reserve?mtm_campaign=API-OFA,01/04/2025,21:06:07,85158.34,0.0
"Ethereum prints 4 consecutive red monthly candles, but data points to an ETH/BTC bottom",neutral,https://cryptopanic.com/news/20905882/Ethereum-prints-4-consecutive-red-monthly-candles-but-data-points-to-an-ETHBTC-bottom?mtm_campaign=API-OFA,01/04/2025,19:23:16,85158.34,0.0
Mastercard Plans to Enable 3.5 Billion Cardholders to Transact with Bitcoin ($BTC) and Crypto,neutral,https://cryptopanic.com/news/20904044/Mastercard-Plans-to-Enable-35-Billion-Cardholders-to-Transact-with-Bitcoin-BTC-and-Crypto?mtm_campaign=API-OFA,01/04/2025,13:05:07,85158.34,0.0
U.S. Senator Buys $600K in Bitcoin via ETF,neutral,https://cryptopanic.com/news/20900725/US-Senator-Buys-600K-in-Bitcoin-via-ETF?mtm_campaign=API-OFA,31/03/2025,19:59:40,82550.01,0.0
Ethereum-Bitcoin Ratio Drops To Five-Year Low,neutral,https://cryptopanic.com/news/20899546/Ethereum-Bitcoin-Ratio-Drops-To-Five-Year-Low?mtm_campaign=API-OFA,31/03/2025,15:04:17,82550.01,-0.2732
Trump’s sons to launch American Bitcoin,neutral,https://cryptopanic.com/news/20899335/Trumps-sons-to-launch-American-Bitcoin?mtm_campaign=API-OFA,31/03/2025,14:07:03,82550.01,0.0
"Strategy announces another purchase of 22,048 BTC",neutral,https://cryptopanic.com/news/20899127/Strategy-announces-another-purchase-of-22048-BTC?mtm_campaign=API-OFA,31/03/2025,13:51:49,82550.01,0.0
Bukele May Visit Trump as Bitcoin Goals Align,neutral,https://cryptopanic.com/news/20897549/Bukele-May-Visit-Trump-as-Bitcoin-Goals-Align?mtm_campaign=API-OFA,31/03/2025,8:33:12,82550.01,0.0
"Hoskinson Reveals Cardano’s Push to Integrate with Dogecoin, Chainlink, Bitcoin",neutral,https://cryptopanic.com/news/20894182/Hoskinson-Reveals-Cardanos-Push-to-Integrate-with-Dogecoin-Chainlink-Bitcoin?mtm_campaign=API-OFA,30/03/2025,2:05:53,82389.99,0.0
Ethereum Crashes 74% Against Bitcoin; Is Reversal Imminent?,neutral,https://cryptopanic.com/news/20889271/Ethereum-Crashes-74-Against-Bitcoin-Is-Reversal-Imminent?mtm_campaign=API-OFA,28/03/2025,14:54:00,84424.38,0.0
Permissionless Bitcoin Debuts on Solana With Zeus Network’s $zBTC,neutral,https://cryptopanic.com/news/20887887/Permissionless-Bitcoin-Debuts-on-Solana-With-Zeus-Networks-zBTC?mtm_campaign=API-OFA,28/03/2025,11:16:00,84424.38,0.0
US States Push Bitcoin Bills to Boost Reserves and Crypto Mining,neutral,https://cryptopanic.com/news/20880852/US-States-Push-Bitcoin-Bills-to-Boost-Reserves-and-Crypto-Mining?mtm_campaign=API-OFA,27/03/2025,7:56:39,87232.01,0.4019
XRP ETF Incoming? Analyst Says Ripple’s Legal Win Changes Everything,positive,https://cryptopanic.com/news/20875440/XRP-ETF-Incoming-Analyst-Says-Ripples-Legal-Win-Changes-Everything?mtm_campaign=API-OFA,26/03/2025,7:53:52,86909.17,0.6486
Michael Saylor hints at new Bitcoin purchase after $711M capital raise,positive,https://cryptopanic.com/news/20863577/Michael-Saylor-hints-at-new-Bitcoin-purchase-after-711M-capital-raise?mtm_campaign=API-OFA,23/03/2025,20:05:18,86082.5,0.0
"IMF Adds Bitcoin to Reserves, Tracks It as Digital Gold and Capital Asset",neutral,https://cryptopanic.com/news/20863359/IMF-Adds-Bitcoin-to-Reserves-Tracks-It-as-Digital-Gold-and-Capital-Asset?mtm_campaign=API-OFA,23/03/2025,17:35:15,86082.5,0.3612
"Senator Lummis Proposes U.S. Sell Gold to Buy 200,000 Bitcoin Annually for Five Years, Totaling 1 Million Bitcoin",neutral,https://cryptopanic.com/news/20860568/Senator-Lummis-Proposes-US-Sell-Gold-to-Buy-200000-Bitcoin-Annually-for-Five-Years-Totaling-1-Million-Bitcoin?mtm_campaign=API-OFA,22/03/2025,13:05:15,83840.59,0.0
Michael Saylor says Europe’s Euro is ‘gonna need BTC’,neutral,https://cryptopanic.com/news/20853810/Michael-Saylor-says-Europes-Euro-is-gonna-need-BTC?mtm_campaign=API-OFA,20/03/2025,21:50:03,84223.39,0.0
"Staking for ether ETFs gathers steam as BlackRock talks up potential, NYSE files on behalf of Bitwise fund",neutral,https://cryptopanic.com/news/20853506/Staking-for-ether-ETFs-gathers-steam-as-BlackRock-talks-up-potential-NYSE-files-on-behalf-of-Bitwise-fund?mtm_campaign=API-OFA,20/03/2025,20:04:47,84223.39,0.0
Bitcoin could thrive in a U.S. recession: BlackRock,neutral,https://cryptopanic.com/news/20850084/Bitcoin-could-thrive-in-a-US-recession-BlackRock?mtm_campaign=API-OFA,20/03/2025,8:27:21,84223.39,-0.4215
XRP Stumbles—But Analysts Still See A Path To $70,neutral,https://cryptopanic.com/news/20843334/XRP-StumblesBut-Analysts-Still-See-A-Path-To-70?mtm_campaign=API-OFA,18/03/2025,22:30:56,82715.03,0.0
"Trump administration wants to buy as much Bitcoin as possible, Crypto Council’s Bo Hines reveals",positive,https://cryptopanic.com/news/20842452/Trump-administration-wants-to-buy-as-much-Bitcoin-as-possible-Crypto-Councils-Bo-Hines-reveals?mtm_campaign=API-OFA,18/03/2025,18:08:04,82715.03,0.0
"Bitcoin Pepe thrives as risk aversion hurts Bitcoin, Dogecoin",neutral,https://cryptopanic.com/news/20841095/Bitcoin-Pepe-thrives-as-risk-aversion-hurts-Bitcoin-Dogecoin?mtm_campaign=API-OFA,18/03/2025,13:24:52,82715.03,-0.7964
Strategy Announces New Preferred Stock Offering to Fund Bitcoin Purchases,positive,https://cryptopanic.com/news/20841104/Strategy-Announces-New-Preferred-Stock-Offering-to-Fund-Bitcoin-Purchases?mtm_campaign=API-OFA,18/03/2025,13:24:22,82715.03,0.0
Global Crackdown on Bitcoin ATMs Gains Momentum,neutral,https://cryptopanic.com/news/20839601/Global-Crackdown-on-Bitcoin-ATMs-Gains-Momentum?mtm_campaign=API-OFA,18/03/2025,8:16:28,82715.03,0.34
Kentucky Passes Bill Protecting Bitcoin Self-Custody and Mining,neutral,https://cryptopanic.com/news/20834639/Kentucky-Passes-Bill-Protecting-Bitcoin-Self-Custody-and-Mining?mtm_campaign=API-OFA,17/03/2025,9:20:24,84010.03,0.0
Most US Voters Oppose Trump’s National Bitcoin Reserve Plan,positive,https://cryptopanic.com/news/20834638/Most-US-Voters-Oppose-Trumps-National-Bitcoin-Reserve-Plan?mtm_campaign=API-OFA,17/03/2025,9:17:25,84010.03,0.0
