post,sentiment,url,published_date,published_time,price_eth,compound
Ethereum’s Pectra Upgrade Enters Final Testing Phase – Will ETH Price Pump?,neutral,https://cryptopanic.com/news/20878279/Ethereums-Pectra-Upgrade-Enters-Final-Testing-Phase-Will-ETH-Price-Pump?mtm_campaign=API-OFA,26/03/2025,17:09:03,2009.52,0.0
Celo becomes Ethereum L2 with Optimism rollup implementation,neutral,https://cryptopanic.com/news/20877737/Celo-becomes-Ethereum-L2-with-Optimism-rollup-implementation?mtm_campaign=API-OFA,26/03/2025,15:05:33,2009.52,0.5423
"USDC stablecoin supply surpasses all-time high, topping $60 billion market cap",positive,https://cryptopanic.com/news/20875357/USDC-stablecoin-supply-surpasses-all-time-high-topping-60-billion-market-cap?mtm_campaign=API-OFA,26/03/2025,7:26:38,2009.52,0.0
"Celo developers finalize Ethereum Layer 2 transition, nearly two years after initial proposal",neutral,https://cryptopanic.com/news/20874905/Celo-developers-finalize-Ethereum-Layer-2-transition-nearly-two-years-after-initial-proposal?mtm_campaign=API-OFA,26/03/2025,4:31:54,2009.52,0.0
Fidelity launches ‘OnChain’ Ethereum-tracked shares for Treasury money market fund,neutral,https://cryptopanic.com/news/20863244/Fidelity-launches-OnChain-Ethereum-tracked-shares-for-Treasury-money-market-fund?mtm_campaign=API-OFA,23/03/2025,16:33:35,2005.99,0.4588
Fidelity Joins Tokenized Asset Race with Ethereum-Based Treasury Fund,neutral,https://cryptopanic.com/news/20862772/Fidelity-Joins-Tokenized-Asset-Race-with-Ethereum-Based-Treasury-Fund?mtm_campaign=API-OFA,23/03/2025,13:15:00,2005.99,0.5106
"BlackRock, NYSE push for staked ETH ETFs – Why it matters",neutral,https://cryptopanic.com/news/20859354/BlackRock-NYSE-push-for-staked-ETH-ETFs-Why-it-matters?mtm_campaign=API-OFA,22/03/2025,3:00:25,1980.69,0.0258
"High-throughput Ethereum scaler MegaETH debuts public testnet, hitting 20,000 TPS on day one",neutral,https://cryptopanic.com/news/20858960/High-throughput-Ethereum-scaler-MegaETH-debuts-public-testnet-hitting-20000-TPS-on-day-one?mtm_campaign=API-OFA,21/03/2025,23:04:15,1965.75,0.0
Ethereum open interest hits new all-time high — Will ETH price follow?,neutral,https://cryptopanic.com/news/20858365/Ethereum-open-interest-hits-new-all-time-high-Will-ETH-price-follow?mtm_campaign=API-OFA,21/03/2025,19:08:51,1965.75,0.4588
BlackRock Says Staking Could Boost Ethereum ETFs,neutral,https://cryptopanic.com/news/20856966/BlackRock-Says-Staking-Could-Boost-Ethereum-ETFs?mtm_campaign=API-OFA,21/03/2025,13:48:11,1965.75,0.4019
"Staking for ether ETFs gathers steam as BlackRock talks up potential, NYSE files on behalf of Bitwise fund",neutral,https://cryptopanic.com/news/20853506/Staking-for-ether-ETFs-gathers-steam-as-BlackRock-talks-up-potential-NYSE-files-on-behalf-of-Bitwise-fund?mtm_campaign=API-OFA,20/03/2025,20:04:47,1983.79,0.0
Ethereum’s stablecoin dominance grows as USDC and USDT drive $850 billion in volume,neutral,https://cryptopanic.com/news/20843400/Ethereums-stablecoin-dominance-grows-as-USDC-and-USDT-drive-850-billion-in-volume?mtm_campaign=API-OFA,18/03/2025,23:01:04,1931.54,0.2023
Vitalik: An Ethereum Story to Launch Globally on April 15th,neutral,https://cryptopanic.com/news/20836033/Vitalik-An-Ethereum-Story-to-Launch-Globally-on-April-15th?mtm_campaign=API-OFA,17/03/2025,13:37:47,1926.31,0.0
Trump-backed World Liberty Financial buys AVAX and MNT for $4M as total portfolio losses reach $118M,neutral,https://cryptopanic.com/news/20831805/Trump-backed-World-Liberty-Financial-buys-AVAX-and-MNT-for-4M-as-total-portfolio-losses-reach-118M?mtm_campaign=API-OFA,16/03/2025,9:24:40,1887.0,0.2023
Ethereum Devs Prep Another Testnet for Pectra Upgrade,neutral,https://cryptopanic.com/news/20827633/Ethereum-Devs-Prep-Another-Testnet-for-Pectra-Upgrade?mtm_campaign=API-OFA,14/03/2025,17:42:23,1911.65,0.0
SEC considers classifying XRP as commodity in settlement talks with Ripple,neutral,https://cryptopanic.com/news/20822779/SEC-considers-classifying-XRP-as-commodity-in-settlement-talks-with-Ripple?mtm_campaign=API-OFA,13/03/2025,17:53:17,1864.59,0.0
"Ethereum Double Trouble: ETH Prices Fall Below $1,800 Price Crash Amid Testnet Attack",neutral,https://cryptopanic.com/news/20808582/Ethereum-Double-Trouble-ETH-Prices-Fall-Below-1800-Price-Crash-Amid-Testnet-Attack?mtm_campaign=API-OFA,11/03/2025,7:54:43,1923.43,-0.8176
Ethereum Price Bottom? $1.8B ETH Outflow Sparks Market Speculation,neutral,https://cryptopanic.com/news/20806624/Ethereum-Price-Bottom-18B-ETH-Outflow-Sparks-Market-Speculation?mtm_campaign=API-OFA,10/03/2025,19:41:00,1865.1,0.0
1.1M in ETH: What Are Ethereum Whales Preparing For?,neutral,https://cryptopanic.com/news/20805000/11M-in-ETH-What-Are-Ethereum-Whales-Preparing-For?mtm_campaign=API-OFA,10/03/2025,13:51:41,1865.1,0.0
Ethereum Whales Accumulate Millions of Tokens: ETH Price Surge on the Way?,neutral,https://cryptopanic.com/news/20795384/Ethereum-Whales-Accumulate-Millions-of-Tokens-ETH-Price-Surge-on-the-Way?mtm_campaign=API-OFA,07/03/2025,14:30:12,2141.6,0.0
"US Government Will Only Buy Bitcoin, Not ETH, XRP, SOL and ADA",neutral,https://cryptopanic.com/news/20784163/US-Government-Will-Only-Buy-Bitcoin-Not-ETH-XRP-SOL-and-ADA?mtm_campaign=API-OFA,05/03/2025,12:10:39,2241.59,0.0
"XRP: 24% Retrace is Mind-Blowing, Ethereum (ETH) Looks Even Worse Than Before, Cardano (ADA): Biggest Volatility Surge in Years",negative,https://cryptopanic.com/news/20781362/XRP-24-Retrace-is-Mind-Blowing-Ethereum-ETH-Looks-Even-Worse-Than-Before-Cardano-ADA-Biggest-Volatility-Surge-in-Years?mtm_campaign=API-OFA,05/03/2025,0:01:00,2241.59,-0.4767
Cardano Rallies 43% In Seven Days: What Is Going On With ADA?,neutral,https://cryptopanic.com/news/20780686/Cardano-Rallies-43-In-Seven-Days-What-Is-Going-On-With-ADA?mtm_campaign=API-OFA,04/03/2025,20:03:51,2171.51,0.0
Why XRP and ADA don’t deserve to be on Trump’s Strategic Crypto Reserve,neutral,https://cryptopanic.com/news/20774538/Why-XRP-and-ADA-dont-deserve-to-be-on-Trumps-Strategic-Crypto-Reserve?mtm_campaign=API-OFA,03/03/2025,18:14:25,2149.01,0.0
"Bybit Hackers Close to Laundering Stolen Funds, Criticism Mounts Over Delayed Response",neutral,https://cryptopanic.com/news/20771614/Bybit-Hackers-Close-to-Laundering-Stolen-Funds-Criticism-Mounts-Over-Delayed-Response?mtm_campaign=API-OFA,03/03/2025,8:31:05,2149.01,-0.7906
"President Trump Reveals U.S. Crypto Reserve Bombshell — Sending BTC, ETH, Ripple’s XRP, Solana, And Cardano Rocketing",neutral,https://cryptopanic.com/news/20770004/President-Trump-Reveals-US-Crypto-Reserve-Bombshell-Sending-BTC-ETH-Ripples-XRP-Solana-And-Cardano-Rocketing?mtm_campaign=API-OFA,02/03/2025,19:31:52,2518.11,0.0
"Bitcoin Will Explode Over $120,000 on Monday as ETF Demand Skyrockets Amid Trump’s BTC Reserve Announcement",neutral,https://cryptopanic.com/news/20769674/Bitcoin-Will-Explode-Over-120000-on-Monday-as-ETF-Demand-Skyrockets-Amid-Trumps-BTC-Reserve-Announcement?mtm_campaign=API-OFA,02/03/2025,17:20:45,2518.11,-0.128
"Breaking: Trump Announces U.S. Crypto Strategic Reserve Including XRP, SOL, ADA, BTC, and ETH",neutral,https://cryptopanic.com/news/20769643/Breaking-Trump-Announces-US-Crypto-Strategic-Reserve-Including-XRP-SOL-ADA-BTC-and-ETH?mtm_campaign=API-OFA,02/03/2025,17:11:40,2518.11,0.0
Trump says Bitcoin and Ethereum will be included in US crypto reserve,neutral,https://cryptopanic.com/news/20769569/Trump-says-Bitcoin-and-Ethereum-will-be-included-in-US-crypto-reserve?mtm_campaign=API-OFA,02/03/2025,16:46:55,2518.11,0.0
Ethereum Foundation officially announces new leadership,positive,https://cryptopanic.com/news/20767503/Ethereum-Foundation-officially-announces-new-leadership?mtm_campaign=API-OFA,01/03/2025,21:09:52,2217.39,0.0
Ethereum developer Danny Ryan joins Etherealize as co-founder,neutral,https://cryptopanic.com/news/20767351/Ethereum-developer-Danny-Ryan-joins-Etherealize-as-co-founder?mtm_campaign=API-OFA,01/03/2025,19:05:53,2217.39,0.0
Ethereum’s favorable risk-return ratio has traders ‘insanely bullish’ on ETH price,negative,https://cryptopanic.com/news/20742027/Ethereums-favorable-risk-return-ratio-has-traders-insanely-bullish-on-ETH-price?mtm_campaign=API-OFA,24/02/2025,20:35:05,2513.52,0.4767
Sony-Backed L2 Soneium Crosses $45M TVL,neutral,https://cryptopanic.com/news/20741585/Sony-Backed-L2-Soneium-Crosses-45M-TVL?mtm_campaign=API-OFA,24/02/2025,18:23:36,2513.52,0.0
"Ethereum Upgrades Could Boost Scalability, Payments Role: Binance",neutral,https://cryptopanic.com/news/21177574/Ethereum-Upgrades-Could-Boost-Scalability-Payments-Role-Binance?mtm_campaign=API-OFA,19/04/2025,19:44:08,1613.27,0.4019
Ethereum’s Next Big Move: 3 Bullish Signals That Could Skyrocket ETH,positive,https://cryptopanic.com/news/21173642/Ethereums-Next-Big-Move-3-Bullish-Signals-That-Could-Skyrocket-ETH?mtm_campaign=API-OFA,19/04/2025,11:34:15,1613.27,0.0
Massive Ethereum (ETH) Price Crash to $800 Predicted by Legendary Trader Brandt,positive,https://cryptopanic.com/news/21171082/Massive-Ethereum-ETH-Price-Crash-to-800-Predicted-by-Legendary-Trader-Brandt?mtm_campaign=API-OFA,19/04/2025,8:16:00,1613.27,-0.4019
Ethereum (ETH) ETFs Show Zero Performance,neutral,https://cryptopanic.com/news/21150506/Ethereum-ETH-ETFs-Show-Zero-Performance?mtm_campaign=API-OFA,18/04/2025,8:56:00,1588.6,0.0
"Secret Service, Canadian Officials Disrupt $4.3M Ethereum “Approval Phishing” Scam",negative,https://cryptopanic.com/news/21126365/Secret-Service-Canadian-Officials-Disrupt-43M-Ethereum-Approval-Phishing-Scam?mtm_campaign=API-OFA,17/04/2025,11:22:57,1583.62,-0.5719
Ethereum Is What Bitcoin Was Meant to Be,neutral,https://cryptopanic.com/news/21110810/Ethereum-Is-What-Bitcoin-Was-Meant-to-Be?mtm_campaign=API-OFA,16/04/2025,15:44:47,1577.14,0.0
Canada to approve SOL ETFs with staking functions as SEC postpones staking function for Grayscale spot ETH ETF,neutral,https://cryptopanic.com/news/21076936/Canada-to-approve-SOL-ETFs-with-staking-functions-as-SEC-postpones-staking-function-for-Grayscale-spot-ETH-ETF?mtm_campaign=API-OFA,14/04/2025,19:42:01,1623.77,-0.2732
"Solana rallies 20% against Ethereum, but is $300 SOL price within reach?",neutral,https://cryptopanic.com/news/21072668/Solana-rallies-20-against-Ethereum-but-is-300-SOL-price-within-reach?mtm_campaign=API-OFA,14/04/2025,14:42:35,1623.77,0.0387
Vitalik Buterin Says “Good Social Philosophy” is Needed for the Upper Layers of Ethereum,positive,https://cryptopanic.com/news/21072124/Vitalik-Buterin-Says-Good-Social-Philosophy-is-Needed-for-the-Upper-Layers-of-Ethereum?mtm_campaign=API-OFA,14/04/2025,14:07:43,1623.77,0.0
"Ethereum Price Eyes $2,000 Breakout, Stablecoin Activity Hits All-Time High",positive,https://cryptopanic.com/news/21051549/Ethereum-Price-Eyes-2000-Breakout-Stablecoin-Activity-Hits-All-Time-High?mtm_campaign=API-OFA,13/04/2025,1:00:00,1597.76,0.0
"On-Chain Indicator Suggests Ethereum (ETH) Could Be Undervalued, According to Crypto Analyst",neutral,https://cryptopanic.com/news/21050521/On-Chain-Indicator-Suggests-Ethereum-ETH-Could-Be-Undervalued-According-to-Crypto-Analyst?mtm_campaign=API-OFA,12/04/2025,20:00:59,1644.18,0.0
ETH/BTC Collapse Isn’t the End: Analyst Sees Silent Rebuild,neutral,https://cryptopanic.com/news/21033208/ETHBTC-Collapse-Isnt-the-End-Analyst-Sees-Silent-Rebuild?mtm_campaign=API-OFA,11/04/2025,13:04:59,1566.85,-0.4939
SEC Approves Options Trading on Spot $ETH ETFs,neutral,https://cryptopanic.com/news/21001801/SEC-Approves-Options-Trading-on-Spot-ETH-ETFs?mtm_campaign=API-OFA,09/04/2025,20:30:40,1669.51,0.4019
Trump-linked WLFI dumps Ethereum at 55% loss amid crypto market turmoil,neutral,https://cryptopanic.com/news/20988705/Trump-linked-WLFI-dumps-Ethereum-at-55-loss-amid-crypto-market-turmoil?mtm_campaign=API-OFA,09/04/2025,10:12:10,1669.51,-0.7579
XRP Will Overtake Ethereum By 2028: Standard Chartered,neutral,https://cryptopanic.com/news/20964396/XRP-Will-Overtake-Ethereum-By-2028-Standard-Chartered?mtm_campaign=API-OFA,08/04/2025,12:26:16,1473.41,0.0
MegaETH: Supercharging Ethereum for the Real-Time Internet Era,neutral,https://cryptopanic.com/news/20957348/MegaETH-Supercharging-Ethereum-for-the-Real-Time-Internet-Era?mtm_campaign=API-OFA,08/04/2025,8:25:25,1473.41,0.0
ETH Drops to 2-Year Lows Amid Crypto Selloff,neutral,https://cryptopanic.com/news/20954761/ETH-Drops-to-2-Year-Lows-Amid-Crypto-Selloff?mtm_campaign=API-OFA,07/04/2025,18:57:00,1553.04,-0.2023
Ethereum Whales Scoop Up $60M as ETH Price Tumbles to 2023 Lows,neutral,https://cryptopanic.com/news/20952800/Ethereum-Whales-Scoop-Up-60M-as-ETH-Price-Tumbles-to-2023-Lows?mtm_campaign=API-OFA,07/04/2025,17:49:30,1553.04,-0.0516
Simulation Game ‘Infected’ Leaves Base for Solana Over Transaction Bottlenecks,negative,https://cryptopanic.com/news/20936518/Simulation-Game-Infected-Leaves-Base-for-Solana-Over-Transaction-Bottlenecks?mtm_campaign=API-OFA,06/04/2025,3:27:38,1580.76,0.0
The future of DeFi isn’t on Ethereum — it’s on Bitcoin,neutral,https://cryptopanic.com/news/20926706/The-future-of-DeFi-isnt-on-Ethereum-its-on-Bitcoin?mtm_campaign=API-OFA,04/04/2025,15:00:00,1816.87,0.0
‘Ethereum Has Long-Term Potential’: Why Experts Believe in ETH Price Recovery,neutral,https://cryptopanic.com/news/20925970/Ethereum-Has-Long-Term-Potential-Why-Experts-Believe-in-ETH-Price-Recovery?mtm_campaign=API-OFA,04/04/2025,13:56:53,1816.87,0.0
Ethereum developers aim for May 7 mainnet deployment of Pectra upgrade,neutral,https://cryptopanic.com/news/20921035/Ethereum-developers-aim-for-May-7-mainnet-deployment-of-Pectra-upgrade?mtm_campaign=API-OFA,04/04/2025,5:04:42,1816.87,0.0
"Ethereum whales accumulate 130,000 ETH amid price drop",neutral,https://cryptopanic.com/news/20917718/Ethereum-whales-accumulate-130000-ETH-amid-price-drop?mtm_campaign=API-OFA,03/04/2025,18:30:54,1817.23,-0.2732
Ethereum's Pectra Upgrade Set for May Following Technical Hurdles,neutral,https://cryptopanic.com/news/20917629/Ethereums-Pectra-Upgrade-Set-for-May-Following-Technical-Hurdles?mtm_campaign=API-OFA,03/04/2025,18:11:40,1817.23,0.0
Analyst Warns of Massive Ethereum Drop Against Bitcoin,neutral,https://cryptopanic.com/news/20917668/Analyst-Warns-of-Massive-Ethereum-Drop-Against-Bitcoin?mtm_campaign=API-OFA,03/04/2025,18:00:40,1817.23,-0.3612
Ethereum faces a storm: Could the crypto giant plummet by 91%?,neutral,https://cryptopanic.com/news/20916737/Ethereum-faces-a-storm-Could-the-crypto-giant-plummet-by-91?mtm_campaign=API-OFA,03/04/2025,14:50:56,1817.23,0.0
Trader Says Ethereum Headed for a Massive Crash Against Bitcoin As Bearish Pattern Forms – Here’s His Outlook,neutral,https://cryptopanic.com/news/20915649/Trader-Says-Ethereum-Headed-for-a-Massive-Crash-Against-Bitcoin-As-Bearish-Pattern-Forms-Heres-His-Outlook?mtm_campaign=API-OFA,03/04/2025,11:45:40,1817.23,-0.4019
"Ethereum price may have bottomed, but pro traders show little interest in buying ETH",negative,https://cryptopanic.com/news/20912712/Ethereum-price-may-have-bottomed-but-pro-traders-show-little-interest-in-buying-ETH?mtm_campaign=API-OFA,02/04/2025,21:15:00,1795.22,0.5515
Kraken Announces Support for RLUSD As Stablecoin Integrates Into Ripple’s Payment’s Network,neutral,https://cryptopanic.com/news/20912158/Kraken-Announces-Support-for-RLUSD-As-Stablecoin-Integrates-Into-Ripples-Payments-Network?mtm_campaign=API-OFA,02/04/2025,18:41:22,1795.22,0.4019
Ethereum Whale Activity Plummets as Large Transactions Drop 63.8% Since Late February,neutral,https://cryptopanic.com/news/20911830/Ethereum-Whale-Activity-Plummets-as-Large-Transactions-Drop-638-Since-Late-February?mtm_campaign=API-OFA,02/04/2025,17:23:07,1795.22,-0.2732
Analyst Benjamin Cowen warns Ethereum could drop another 50%,neutral,https://cryptopanic.com/news/20911309/Analyst-Benjamin-Cowen-warns-Ethereum-could-drop-another-50?mtm_campaign=API-OFA,02/04/2025,15:27:44,1795.22,-0.3612
Ethereum Technicals Not Looking Good: Will ETH Crash Further?,positive,https://cryptopanic.com/news/20910140/Ethereum-Technicals-Not-Looking-Good-Will-ETH-Crash-Further?mtm_campaign=API-OFA,02/04/2025,12:15:45,1795.22,-0.6256
"Ethereum prints 4 consecutive red monthly candles, but data points to an ETH/BTC bottom",neutral,https://cryptopanic.com/news/20905882/Ethereum-prints-4-consecutive-red-monthly-candles-but-data-points-to-an-ETHBTC-bottom?mtm_campaign=API-OFA,01/04/2025,19:23:16,1904.98,0.0
Data Proves Ethereum Is Still the #1 Altcoin to Own,positive,https://cryptopanic.com/news/20905475/Data-Proves-Ethereum-Is-Still-the-1-Altcoin-to-Own?mtm_campaign=API-OFA,01/04/2025,17:28:12,1904.98,0.0
Ethereum-Bitcoin Ratio Drops To Five-Year Low,neutral,https://cryptopanic.com/news/20899546/Ethereum-Bitcoin-Ratio-Drops-To-Five-Year-Low?mtm_campaign=API-OFA,31/03/2025,15:04:17,1822.43,-0.2732
Vitalik Buterin introduces multi-proof security model amid Ethereum volatility,neutral,https://cryptopanic.com/news/20896708/Vitalik-Buterin-introduces-multi-proof-security-model-amid-Ethereum-volatility?mtm_campaign=API-OFA,31/03/2025,2:40:43,1822.43,0.34
Ethereum Crashes 74% Against Bitcoin; Is Reversal Imminent?,neutral,https://cryptopanic.com/news/20889271/Ethereum-Crashes-74-Against-Bitcoin-Is-Reversal-Imminent?mtm_campaign=API-OFA,28/03/2025,14:54:00,1896.9,0.0
Ethereum’s Pectra Upgrade Moves Forward with Successful Hoodi Deployment,positive,https://cryptopanic.com/news/20883626/Ethereums-Pectra-Upgrade-Moves-Forward-with-Successful-Hoodi-Deployment?mtm_campaign=API-OFA,27/03/2025,14:39:18,2003.66,0.5859
Cosmos devs test IBC protocol between Hub and Ethereum to boost interoperability,neutral,https://cryptopanic.com/news/20880880/Cosmos-devs-test-IBC-protocol-between-Hub-and-Ethereum-to-boost-interoperability?mtm_campaign=API-OFA,27/03/2025,8:02:58,2003.66,0.4019
Ethereum edges closer to deploying Pectra on mainnet with successful upgrade on Hoodi testnet,positive,https://cryptopanic.com/news/20880416/Ethereum-edges-closer-to-deploying-Pectra-on-mainnet-with-successful-upgrade-on-Hoodi-testnet?mtm_campaign=API-OFA,27/03/2025,5:55:11,2003.66,0.5859
Ethereum Name Service Teams Up With Para Wallet to Simplify Registration,neutral,https://cryptopanic.com/news/20878377/Ethereum-Name-Service-Teams-Up-With-Para-Wallet-to-Simplify-Registration?mtm_campaign=API-OFA,26/03/2025,17:30:58,2009.52,0.0
Ethereum’s Final Pectra Test Goes Live on Hoodi Network,neutral,https://cryptopanic.com/news/20878331/Ethereums-Final-Pectra-Test-Goes-Live-on-Hoodi-Network?mtm_campaign=API-OFA,26/03/2025,17:23:33,2009.52,0.0
Ethereum’s Pectra Upgrade Enters Final Testing Phase – Will ETH Price Pump?,neutral,https://cryptopanic.com/news/20878279/Ethereums-Pectra-Upgrade-Enters-Final-Testing-Phase-Will-ETH-Price-Pump?mtm_campaign=API-OFA,26/03/2025,17:09:03,2009.52,0.0
"USDC stablecoin supply surpasses all-time high, topping $60 billion market cap",positive,https://cryptopanic.com/news/20875357/USDC-stablecoin-supply-surpasses-all-time-high-topping-60-billion-market-cap?mtm_campaign=API-OFA,26/03/2025,7:26:38,2009.52,0.0
