post,sentiment,url,published_date,published_time,price_btc,confidence,sentiment_label,sentiment_score
"Enormous XRP Breakout to Launch Skyrocketing Rally, Shiba Inu (SHIB): Pattern You Don't Avoid, Bitcoin (BTC) Still Sleeping",Neutral,https://cryptopanic.com/news/20540586/Enormous-XRP-Breakout-to-Launch-Skyrocketing-Rally-Shiba-Inu-SHIB-Pattern-You-Dont-Avoid-Bitcoin-BTC-Still-Sleeping?mtm_campaign=API-OFA,1/13/2025,0:01:00,94536.1,0.989195943,Bullish,0.552621543
Crypto ETFs to Boom in 2025: 50 Launches Predicted,Positive,https://cryptopanic.com/news/20541759/Crypto-ETFs-to-Boom-in-2025-50-Launches-Predicted?mtm_campaign=API-OFA,1/13/2025,8:41:14,94536.1,0.9188537,Neutral,0.641916275
JPMorgan Issues Major Solana and XRP ETF Predictions: Details,Neutral,https://cryptopanic.com/news/20548084/JPMorgan-Issues-Major-Solana-and-XRP-ETF-Predictions-Details?mtm_campaign=API-OFA,1/14/2025,12:21:56,96560.86,0.999940634,Bullish,0.584903955
"XRP eyes $100 this cycle if historical pattern plays out, according to technical analyst",Neutral,https://cryptopanic.com/news/20547852/XRP-eyes-100-this-cycle-if-historical-pattern-plays-out-according-to-technical-analyst?mtm_campaign=API-OFA,1/14/2025,11:39:23,96560.86,0.999931335,Neutral,0.960991263
Stablecoins make up one-third of all crypto payments in 2024 – CoinGate report,Neutral,https://cryptopanic.com/news/20547985/Stablecoins-make-up-one-third-of-all-crypto-payments-in-2024-CoinGate-report?mtm_campaign=API-OFA,1/14/2025,12:00:14,96560.86,0.999996781,Neutral,0.94076556
XRP Witnesses Epic Breakout Versus Bitcoin and Ethereum,Neutral,https://cryptopanic.com/news/20560354/XRP-Witnesses-Epic-Breakout-Versus-Bitcoin-and-Ethereum?mtm_campaign=API-OFA,1/16/2025,15:43:00,99987.3,0.999992609,Bullish,0.666887701
"Trump reportedly talking to Ripple with interest in XRP, USDC, Solana for US national reserve",Neutral,https://cryptopanic.com/news/20560071/Trump-reportedly-talking-to-Ripple-with-interest-in-XRP-USDC-Solana-for-US-national-reserve?mtm_campaign=API-OFA,1/16/2025,14:56:29,99987.3,0.999938965,Neutral,0.662994385
Trump reportedly ‘receptive’ to strategic reserve with US-based cryptos,Neutral,https://cryptopanic.com/news/20559674/Trump-reportedly-receptive-to-strategic-reserve-with-US-based-cryptos?mtm_campaign=API-OFA,1/16/2025,13:43:47,99987.3,0.974449277,Neutral,0.95653075
"Donald Trump’s team considering XRP, Solana, and USDC strategic reserves",Neutral,https://cryptopanic.com/news/20559609/Donald-Trumps-team-considering-XRP-Solana-and-USDC-strategic-reserves?mtm_campaign=API-OFA,1/16/2025,13:39:49,99987.3,0.999996066,Neutral,0.764725506
"Trump Plans ‘America-First’ Crypto Reserve, Prioritizing U.S.-Based Coins Like Solana and XRP",Neutral,https://cryptopanic.com/news/20559590/Trump-Plans-America-First-Crypto-Reserve-Prioritizing-US-Based-Coins-Like-Solana-and-XRP?mtm_campaign=API-OFA,1/16/2025,13:33:59,99987.3,0.99999249,Neutral,0.660685241
"$3B in Bitcoin, Ethereum Options Expire as Trump Era Begins",Neutral,https://cryptopanic.com/news/20563473/3B-in-Bitcoin-Ethereum-Options-Expire-as-Trump-Era-Begins?mtm_campaign=API-OFA,1/17/2025,8:45:01,104077.48,0.99998939,Bullish,0.434695333
"$3B in Bitcoin, Ethereum Options Expire as Trump Era Begins",Neutral,https://cryptopanic.com/news/20563473/3B-in-Bitcoin-Ethereum-Options-Expire-as-Trump-Era-Begins?mtm_campaign=API-OFA,1/17/2025,8:45:01,104017,0.99998939,Bullish,0.434695333
"$3B in Bitcoin, Ethereum Options Expire as Trump Era Begins",Neutral,https://cryptopanic.com/news/20563473/3B-in-Bitcoin-Ethereum-Options-Expire-as-Trump-Era-Begins?mtm_campaign=API-OFA,1/17/2025,8:45:01,104021,0.99998939,Bullish,0.434695333
Coinbase Launches Bitcoin-Backed Loans via Morpho,Neutral,https://cryptopanic.com/news/20569524/Coinbase-Launches-Bitcoin-Backed-Loans-via-Morpho?mtm_campaign=API-OFA,1/18/2025,15:41:55,104556.23,0.999955773,Neutral,0.791867375
Coinbase Launches Bitcoin-Backed Loans via Morpho,Neutral,https://cryptopanic.com/news/20569524/Coinbase-Launches-Bitcoin-Backed-Loans-via-Morpho?mtm_campaign=API-OFA,1/18/2025,15:41:55,104017,0.999955773,Neutral,0.791867375
Coinbase Launches Bitcoin-Backed Loans via Morpho,Neutral,https://cryptopanic.com/news/20569524/Coinbase-Launches-Bitcoin-Backed-Loans-via-Morpho?mtm_campaign=API-OFA,1/18/2025,15:41:55,104021,0.999955773,Neutral,0.791867375
🇺🇸 BREAKING: Trump appoints pro-Bitcoin Mark Uyeda to replace Gary Gensler as Chair of the SEC,Neutral,https://cryptopanic.com/news/20578384/BREAKING-Trump-appoints-pro-Bitcoin-Mark-Uyeda-to-replace-Gary-Gensler-as-Chair-of-the-SEC?mtm_campaign=API-OFA,1/20/2025,20:39:50,102260.01,0.9999125,Neutral,0.539655089
Bitcoin Hits New ATH,Neutral,https://cryptopanic.com/news/20574740/Bitcoin-Hits-New-ATH?mtm_campaign=API-OFA,1/20/2025,9:09:17,102260.01,0.558714747,Bearish,0.863027215
🇺🇸 BREAKING: Trump appoints pro-Bitcoin Mark Uyeda to replace Gary Gensler as Chair of the SEC,Neutral,https://cryptopanic.com/news/20578384/BREAKING-Trump-appoints-pro-Bitcoin-Mark-Uyeda-to-replace-Gary-Gensler-as-Chair-of-the-SEC?mtm_campaign=API-OFA,1/20/2025,20:39:50,104017,0.9999125,Neutral,0.539655089
Bitcoin Hits New ATH,Neutral,https://cryptopanic.com/news/20574740/Bitcoin-Hits-New-ATH?mtm_campaign=API-OFA,1/20/2025,9:09:17,104017,0.558714747,Bearish,0.863027215
🇺🇸 BREAKING: Trump appoints pro-Bitcoin Mark Uyeda to replace Gary Gensler as Chair of the SEC,Neutral,https://cryptopanic.com/news/20578384/BREAKING-Trump-appoints-pro-Bitcoin-Mark-Uyeda-to-replace-Gary-Gensler-as-Chair-of-the-SEC?mtm_campaign=API-OFA,1/20/2025,20:39:50,104021,0.9999125,Neutral,0.539655089
Bitcoin Hits New ATH,Neutral,https://cryptopanic.com/news/20574740/Bitcoin-Hits-New-ATH?mtm_campaign=API-OFA,1/20/2025,9:09:17,104021,0.558714747,Bearish,0.863027215
El Salvador buys another 12 Bitcoin for country’s reserve despite IMF deal,Neutral,https://cryptopanic.com/news/20579359/El-Salvador-buys-another-12-Bitcoin-for-countrys-reserve-despite-IMF-deal?mtm_campaign=API-OFA,1/21/2025,2:15:41,106143.82,0.999978304,Neutral,0.772700012
El Salvador buys another 12 Bitcoin for country’s reserve despite IMF deal,Neutral,https://cryptopanic.com/news/20579359/El-Salvador-buys-another-12-Bitcoin-for-countrys-reserve-despite-IMF-deal?mtm_campaign=API-OFA,1/21/2025,2:15:41,104017,0.999978304,Neutral,0.772700012
El Salvador buys another 12 Bitcoin for country’s reserve despite IMF deal,Neutral,https://cryptopanic.com/news/20579359/El-Salvador-buys-another-12-Bitcoin-for-countrys-reserve-despite-IMF-deal?mtm_campaign=API-OFA,1/21/2025,2:15:41,104021,0.999978304,Neutral,0.772700012
"XRP on Verge of Ultra Rare Golden Cross Versus Bitcoin, MicroStrategy Buys $1.1 Billion Worth of Bitcoin, Gary Gensler Loses Government Checkmark: Crypto News Digest by U.Today",Neutral,https://cryptopanic.com/news/20589086/XRP-on-Verge-of-Ultra-Rare-Golden-Cross-Versus-Bitcoin-MicroStrategy-Buys-11-Billion-Worth-of-Bitcoin-Gary-Gensler-Loses-Government-Checkmark-Crypto-News-Digest-by-UToday?mtm_campaign=API-OFA,1/22/2025,15:38:00,103706.66,0.999992967,Bullish,0.675995529
"Ethereum Aims to Position ETH as the Cryptocurrency for Wall Street, According to Bloomberg",Neutral,https://cryptopanic.com/news/20595492/Ethereum-Aims-to-Position-ETH-as-the-Cryptocurrency-for-Wall-Street-According-to-Bloomberg?mtm_campaign=API-OFA,1/23/2025,16:26:33,103910.34,0.999968052,Bullish,0.606140554
"Cathie Wood won’t invest in Trump coin, will stick to the ‘big three’",Neutral,https://cryptopanic.com/news/20592901/Cathie-Wood-wont-invest-in-Trump-coin-will-stick-to-the-big-three?mtm_campaign=API-OFA,1/23/2025,9:01:12,103910.34,0.999981642,Neutral,0.895768344
"Ethereum Aims to Position ETH as the Cryptocurrency for Wall Street, According to Bloomberg",Neutral,https://cryptopanic.com/news/20595492/Ethereum-Aims-to-Position-ETH-as-the-Cryptocurrency-for-Wall-Street-According-to-Bloomberg?mtm_campaign=API-OFA,1/23/2025,16:26:33,104017,0.999968052,Bullish,0.606140554
"Cathie Wood won’t invest in Trump coin, will stick to the ‘big three’",Neutral,https://cryptopanic.com/news/20592901/Cathie-Wood-wont-invest-in-Trump-coin-will-stick-to-the-big-three?mtm_campaign=API-OFA,1/23/2025,9:01:12,104017,0.999981642,Neutral,0.895768344
"Ethereum Aims to Position ETH as the Cryptocurrency for Wall Street, According to Bloomberg",Neutral,https://cryptopanic.com/news/20595492/Ethereum-Aims-to-Position-ETH-as-the-Cryptocurrency-for-Wall-Street-According-to-Bloomberg?mtm_campaign=API-OFA,1/23/2025,16:26:33,104021,0.999968052,Bullish,0.606140554
"Cathie Wood won’t invest in Trump coin, will stick to the ‘big three’",Neutral,https://cryptopanic.com/news/20592901/Cathie-Wood-wont-invest-in-Trump-coin-will-stick-to-the-big-three?mtm_campaign=API-OFA,1/23/2025,9:01:12,104021,0.999981642,Neutral,0.895768344
Will XRP Join Bitcoin in Trump’s US Strategic Crypto Reserve?,Neutral,https://cryptopanic.com/news/20601870/Will-XRP-Join-Bitcoin-in-Trumps-US-Strategic-Crypto-Reserve?mtm_campaign=API-OFA,1/24/2025,19:43:00,104870.5,0.999869943,Neutral,0.511931956
"Bank Of America CEO Signals BTC, XRP Adoption as Trump Assumes Office",Neutral,https://cryptopanic.com/news/20601528/Bank-Of-America-CEO-Signals-BTC-XRP-Adoption-as-Trump-Assumes-Office?mtm_campaign=API-OFA,1/24/2025,17:46:55,104870.5,0.999991059,Neutral,0.617061257
Ripple scores victory against the Bitcoin Strategic Reserve,Positive,https://cryptopanic.com/news/20601474/Ripple-scores-victory-against-the-Bitcoin-Strategic-Reserve?mtm_campaign=API-OFA,1/24/2025,17:32:26,104870.5,0.999985695,Bullish,0.521265328
Ripple CEO’s Comments on U.S. Accumulating XRP Sparks Speculations,Negative,https://cryptopanic.com/news/20599886/Ripple-CEOs-Comments-on-US-Accumulating-XRP-Sparks-Speculations?mtm_campaign=API-OFA,1/24/2025,12:03:36,104870.5,0.981016695,Bullish,0.554023564
SEC Eases Rules for Banks to Safely Hold Bitcoin and Crypto,Neutral,https://cryptopanic.com/news/20598947/SEC-Eases-Rules-for-Banks-to-Safely-Hold-Bitcoin-and-Crypto?mtm_campaign=API-OFA,1/24/2025,8:49:11,104870.5,0.993145108,Bullish,0.675897658
Coinbase CEO Urges Governments to Hold Bitcoin as Strategic Reserve,Neutral,https://cryptopanic.com/news/20598910/Coinbase-CEO-Urges-Governments-to-Hold-Bitcoin-as-Strategic-Reserve?mtm_campaign=API-OFA,1/24/2025,8:42:39,104870.5,0.998945653,Bullish,0.660060167
SEC Eases Rules for Banks to Safely Hold Bitcoin and Crypto,Neutral,https://cryptopanic.com/news/20598947/SEC-Eases-Rules-for-Banks-to-Safely-Hold-Bitcoin-and-Crypto?mtm_campaign=API-OFA,1/24/2025,8:49:11,104017,0.993145108,Bullish,0.675897658
Coinbase CEO Urges Governments to Hold Bitcoin as Strategic Reserve,Neutral,https://cryptopanic.com/news/20598910/Coinbase-CEO-Urges-Governments-to-Hold-Bitcoin-as-Strategic-Reserve?mtm_campaign=API-OFA,1/24/2025,8:42:39,104017,0.998945653,Bullish,0.660060167
SEC Eases Rules for Banks to Safely Hold Bitcoin and Crypto,Neutral,https://cryptopanic.com/news/20598947/SEC-Eases-Rules-for-Banks-to-Safely-Hold-Bitcoin-and-Crypto?mtm_campaign=API-OFA,1/24/2025,8:49:11,104021,0.993145108,Bullish,0.675897658
Coinbase CEO Urges Governments to Hold Bitcoin as Strategic Reserve,Neutral,https://cryptopanic.com/news/20598910/Coinbase-CEO-Urges-Governments-to-Hold-Bitcoin-as-Strategic-Reserve?mtm_campaign=API-OFA,1/24/2025,8:42:39,104021,0.998945653,Bullish,0.660060167
Bullish chart pattern hints XRP to hit $9,Positive,https://cryptopanic.com/news/20606902/Bullish-chart-pattern-hints-XRP-to-hit-9?mtm_campaign=API-OFA,1/26/2025,14:12:11,102620,0.999997973,Bullish,0.745528817
Russia’s Biggest Energy Provider Rosseti to Launch Crypto Mining Operations,Neutral,https://cryptopanic.com/news/20608010/Russias-Biggest-Energy-Provider-Rosseti-to-Launch-Crypto-Mining-Operations?mtm_campaign=API-OFA,1/26/2025,23:30:00,102620,0.997493863,Neutral,0.568126261
Russia’s Biggest Energy Provider Rosseti to Launch Crypto Mining Operations,Neutral,https://cryptopanic.com/news/20608010/Russias-Biggest-Energy-Provider-Rosseti-to-Launch-Crypto-Mining-Operations?mtm_campaign=API-OFA,1/26/2025,23:30:00,104017,0.997493863,Neutral,0.568126261
Russia’s Biggest Energy Provider Rosseti to Launch Crypto Mining Operations,Neutral,https://cryptopanic.com/news/20608010/Russias-Biggest-Energy-Provider-Rosseti-to-Launch-Crypto-Mining-Operations?mtm_campaign=API-OFA,1/26/2025,23:30:00,104021,0.997493863,Neutral,0.568126261
"Cboe Pushes SEC for In-Kind Bitcoin, Ethereum ETF Changes",Neutral,https://cryptopanic.com/news/20614626/Cboe-Pushes-SEC-for-In-Kind-Bitcoin-Ethereum-ETF-Changes?mtm_campaign=API-OFA,1/28/2025,8:33:41,101335.52,0.999612272,Bullish,0.568887711
"Cboe Pushes SEC for In-Kind Bitcoin, Ethereum ETF Changes",Neutral,https://cryptopanic.com/news/20614626/Cboe-Pushes-SEC-for-In-Kind-Bitcoin-Ethereum-ETF-Changes?mtm_campaign=API-OFA,1/28/2025,8:33:41,104017,0.999612272,Bullish,0.568887711
"Cboe Pushes SEC for In-Kind Bitcoin, Ethereum ETF Changes",Neutral,https://cryptopanic.com/news/20614626/Cboe-Pushes-SEC-for-In-Kind-Bitcoin-Ethereum-ETF-Changes?mtm_campaign=API-OFA,1/28/2025,8:33:41,104021,0.999612272,Bullish,0.568887711
Czech Central Bank Considers Billions in Bitcoin Reserves,Neutral,https://cryptopanic.com/news/20619796/Czech-Central-Bank-Considers-Billions-in-Bitcoin-Reserves?mtm_campaign=API-OFA,1/29/2025,8:37:54,103733.24,0.999998331,Bullish,0.583053589
Czech Central Bank Considers Billions in Bitcoin Reserves,Neutral,https://cryptopanic.com/news/20619796/Czech-Central-Bank-Considers-Billions-in-Bitcoin-Reserves?mtm_campaign=API-OFA,1/29/2025,8:37:54,104017,0.999998331,Bullish,0.583053589
Czech Central Bank Considers Billions in Bitcoin Reserves,Neutral,https://cryptopanic.com/news/20619796/Czech-Central-Bank-Considers-Billions-in-Bitcoin-Reserves?mtm_campaign=API-OFA,1/29/2025,8:37:54,104021,0.999998331,Bullish,0.583053589
Trump Launches Official Watches—Pay with Bitcoin or $TRUMP,Neutral,https://cryptopanic.com/news/20627054/Trump-Launches-Official-WatchesPay-with-Bitcoin-or-TRUMP?mtm_campaign=API-OFA,1/30/2025,14:28:49,104722.94,0.999992132,Neutral,0.599106848
"Trump and Melania memecoins make push for real-world payments in fragrances, sneakers and travel",Neutral,https://cryptopanic.com/news/20625969/Trump-and-Melania-memecoins-make-push-for-real-world-payments-in-fragrances-sneakers-and-travel?mtm_campaign=API-OFA,1/30/2025,11:19:40,104722.94,0.99999392,Neutral,0.971993625
Illinois and Indiana Push for Bitcoin Reserves in New Bills,Neutral,https://cryptopanic.com/news/20625322/Illinois-and-Indiana-Push-for-Bitcoin-Reserves-in-New-Bills?mtm_campaign=API-OFA,1/30/2025,9:18:52,104722.94,0.999881029,Bullish,0.509029686
Trump’s Order Sparks Bitcoin Boom: $200K Prediction for 2025,Neutral,https://cryptopanic.com/news/20625275/Trumps-Order-Sparks-Bitcoin-Boom-200K-Prediction-for-2025?mtm_campaign=API-OFA,1/30/2025,9:10:17,104722.94,0.999137104,Neutral,0.516308606
Illinois and Indiana Push for Bitcoin Reserves in New Bills,Neutral,https://cryptopanic.com/news/20625322/Illinois-and-Indiana-Push-for-Bitcoin-Reserves-in-New-Bills?mtm_campaign=API-OFA,1/30/2025,9:18:52,104017,0.999881029,Bullish,0.509029686
Trump’s Order Sparks Bitcoin Boom: $200K Prediction for 2025,Neutral,https://cryptopanic.com/news/20625275/Trumps-Order-Sparks-Bitcoin-Boom-200K-Prediction-for-2025?mtm_campaign=API-OFA,1/30/2025,9:10:17,104017,0.999137104,Neutral,0.516308606
Illinois and Indiana Push for Bitcoin Reserves in New Bills,Neutral,https://cryptopanic.com/news/20625322/Illinois-and-Indiana-Push-for-Bitcoin-Reserves-in-New-Bills?mtm_campaign=API-OFA,1/30/2025,9:18:52,104021,0.999881029,Bullish,0.509029686
Trump’s Order Sparks Bitcoin Boom: $200K Prediction for 2025,Neutral,https://cryptopanic.com/news/20625275/Trumps-Order-Sparks-Bitcoin-Boom-200K-Prediction-for-2025?mtm_campaign=API-OFA,1/30/2025,9:10:17,104021,0.999137104,Neutral,0.516308606
Trump Media Announces $250M Crypto and ETF Investment Strategy,Neutral,https://cryptopanic.com/news/20629386/Trump-Media-Announces-250M-Crypto-and-ETF-Investment-Strategy?mtm_campaign=API-OFA,1/31/2025,0:02:00,102429.56,0.958773196,Neutral,0.52171433
"Tether Brings USDT to Bitcoin’s Lightning Network for Faster, Cheaper Payments",Neutral,https://cryptopanic.com/news/20630721/Tether-Brings-USDT-to-Bitcoins-Lightning-Network-for-Faster-Cheaper-Payments?mtm_campaign=API-OFA,1/31/2025,8:48:14,102429.56,0.650381327,Neutral,0.476738095
"Tether Brings USDT to Bitcoin’s Lightning Network for Faster, Cheaper Payments",Neutral,https://cryptopanic.com/news/20630721/Tether-Brings-USDT-to-Bitcoins-Lightning-Network-for-Faster-Cheaper-Payments?mtm_campaign=API-OFA,1/31/2025,8:48:14,104017,0.650381327,Neutral,0.476738095
"Tether Brings USDT to Bitcoin’s Lightning Network for Faster, Cheaper Payments",Neutral,https://cryptopanic.com/news/20630721/Tether-Brings-USDT-to-Bitcoins-Lightning-Network-for-Faster-Cheaper-Payments?mtm_campaign=API-OFA,1/31/2025,8:48:14,104021,0.650381327,Neutral,0.476738095
"President Trump Reveals U.S. Crypto Reserve Bombshell — Sending BTC, ETH, Ripple’s XRP, Solana, And Cardano Rocketing",Neutral,https://cryptopanic.com/news/20770004/President-Trump-Reveals-US-Crypto-Reserve-Bombshell-Sending-BTC-ETH-Ripples-XRP-Solana-And-Cardano-Rocketing?mtm_campaign=API-OFA,2/3/2025,19:31:52,94270,0.999990702,Neutral,0.735193789
"MICHAEL SAYLOR: ""Bitcoin is the foundation of the crypto economy.""",Neutral,https://cryptopanic.com/news/20769970/MICHAEL-SAYLOR-Bitcoin-is-the-foundation-of-the-crypto-economy?mtm_campaign=API-OFA,2/3/2025,19:14:12,94270,0.982882261,Bullish,0.6442312
