post,sentiment,url,published_date,published_time,price_eth,confidence,sentiment_label,sentiment_score
Solana outpaces Ethereum in attracting new crypto developers in 2024,Positive,https://cryptopanic.com/news/20399641/Solana-outpaces-Ethereum-in-attracting-new-crypto-developers-in-2024?mtm_campaign=API-OFA,12/12/2024,18:00:37,3881.61,0.999488711,Neutral,0.973069251
"Layer-1 Blockchain Avalanche (AVAX) Announces $250,000,000 Token Sale Ahead of Upcoming Upgrade",Neutral,https://cryptopanic.com/news/20404600/Layer-1-Blockchain-Avalanche-AVAX-Announces-250000000-Token-Sale-Ahead-of-Upcoming-Upgrade?mtm_campaign=API-OFA,12/13/2024,21:00:20,3906.8,0.979527414,Neutral,0.53893435
Solana Surpasses Ethereum in New Developer Onboarding for 2024,Neutral,https://cryptopanic.com/news/20404346/Solana-Surpasses-Ethereum-in-New-Developer-Onboarding-for-2024?mtm_campaign=API-OFA,12/13/2024,19:40:10,3906.8,0.807138383,Neutral,0.706201255
Electric Capital: ‘Solana Is the #1 Ecosystem for New Developers in 2024 and Grew 83% YoY’,Positive,https://cryptopanic.com/news/20402986/Electric-Capital-Solana-Is-the-1-Ecosystem-for-New-Developers-in-2024-and-Grew-83-YoY?mtm_campaign=API-OFA,12/13/2024,13:01:01,3906.8,0.999997377,Neutral,0.591246605
Solana overthrows Ethereum’s 8-year reign as top ecosystem for new devs,Positive,https://cryptopanic.com/news/20401263/Solana-overthrows-Ethereums-8-year-reign-as-top-ecosystem-for-new-devs?mtm_campaign=API-OFA,12/13/2024,3:37:32,3906.8,0.82871592,Neutral,0.931455374
"Layer-1 Blockchain Avalanche (AVAX) Announces $250,000,000 Token Sale Ahead of Upcoming Upgrade",Neutral,https://cryptopanic.com/news/20404600/Layer-1-Blockchain-Avalanche-AVAX-Announces-250000000-Token-Sale-Ahead-of-Upcoming-Upgrade?mtm_campaign=API-OFA,12/13/2024,21:00:20,2603.84,0.979527414,Neutral,0.53893435
Bitcoin and Ethereum Face $2.6B Options Expiry,Neutral,https://cryptopanic.com/news/20446594/Bitcoin-and-Ethereum-Face-26B-Options-Expiry?mtm_campaign=API-OFA,12/20/2024,8:29:08,3472.21,0.999999404,Bullish,0.487885505
Bitcoin and Ethereum Face $2.6B Options Expiry,Neutral,https://cryptopanic.com/news/20446594/Bitcoin-and-Ethereum-Face-26B-Options-Expiry?mtm_campaign=API-OFA,12/20/2024,8:29:08,2603.84,0.999999404,Bullish,0.487885505
Hyperliquid Denies Being Hacked by Lazarus Group,Neutral,https://cryptopanic.com/news/20467293/Hyperliquid-Denies-Being-Hacked-by-Lazarus-Group?mtm_campaign=API-OFA,12/24/2024,8:29:35,3493.18,0.999835134,Neutral,0.590017438
Hyperliquid Denies Being Hacked by Lazarus Group,Neutral,https://cryptopanic.com/news/20467293/Hyperliquid-Denies-Being-Hacked-by-Lazarus-Group?mtm_campaign=API-OFA,12/24/2024,8:29:35,2603.84,0.999835134,Neutral,0.590017438
"Bitcoin ETFs Face $1.2B Outflows, Ethereum Sees $130M Inflows",Neutral,https://cryptopanic.com/news/20471491/Bitcoin-ETFs-Face-12B-Outflows-Ethereum-Sees-130M-Inflows?mtm_campaign=API-OFA,12/25/2024,12:22:00,3497,0.999770343,Neutral,0.555073977
"Bitcoin ETFs Face $1.2B Outflows, Ethereum Sees $130M Inflows",Neutral,https://cryptopanic.com/news/20471491/Bitcoin-ETFs-Face-12B-Outflows-Ethereum-Sees-130M-Inflows?mtm_campaign=API-OFA,12/25/2024,12:22:00,2603.84,0.999770343,Neutral,0.555073977
Grayscale Predicts Smart Contracts to Lead Crypto Market in 2025,Neutral,https://cryptopanic.com/news/20490390/Grayscale-Predicts-Smart-Contracts-to-Lead-Crypto-Market-in-2025?mtm_campaign=API-OFA,12/31/2024,9:46:39,3337.78,0.859387279,Neutral,0.718659341
Grayscale Predicts Smart Contracts to Lead Crypto Market in 2025,Neutral,https://cryptopanic.com/news/20490390/Grayscale-Predicts-Smart-Contracts-to-Lead-Crypto-Market-in-2025?mtm_campaign=API-OFA,12/31/2024,9:46:39,2603.84,0.859387279,Neutral,0.718659341
Pudgy Penguins Solana Token and Ethereum NFTs Rising Ahead of Abstract Network Launch,Neutral,https://cryptopanic.com/news/20512657/Pudgy-Penguins-Solana-Token-and-Ethereum-NFTs-Rising-Ahead-of-Abstract-Network-Launch?mtm_campaign=API-OFA,1/6/2025,18:31:08,3687.45,0.994493604,Bullish,0.634413838
Vitalik Buterin Warns: Superintelligent AI Could Arrive Sooner Than Expected,Positive,https://cryptopanic.com/news/20509832/Vitalik-Buterin-Warns-Superintelligent-AI-Could-Arrive-Sooner-Than-Expected?mtm_campaign=API-OFA,1/6/2025,8:33:43,3687.45,0.9973948,Bullish,0.502708912
Pudgy Penguins Solana Token and Ethereum NFTs Rising Ahead of Abstract Network Launch,Neutral,https://cryptopanic.com/news/20512657/Pudgy-Penguins-Solana-Token-and-Ethereum-NFTs-Rising-Ahead-of-Abstract-Network-Launch?mtm_campaign=API-OFA,1/6/2025,18:31:08,2603.84,0.994493604,Bullish,0.634413838
Vitalik Buterin Warns: Superintelligent AI Could Arrive Sooner Than Expected,Positive,https://cryptopanic.com/news/20509832/Vitalik-Buterin-Warns-Superintelligent-AI-Could-Arrive-Sooner-Than-Expected?mtm_campaign=API-OFA,1/6/2025,8:33:43,2603.84,0.9973948,Bullish,0.502708912
"Ethereum Price Eyes $4,811 And $8,550 Targets After Breakout",Neutral,https://cryptopanic.com/news/20540631/Ethereum-Price-Eyes-4811-And-8550-Targets-After-Breakout?mtm_campaign=API-OFA,1/13/2025,0:22:00,3137.51,0.999993801,Neutral,0.63016516
"Ethereum Price Eyes $4,811 And $8,550 Targets After Breakout",Neutral,https://cryptopanic.com/news/20540631/Ethereum-Price-Eyes-4811-And-8550-Targets-After-Breakout?mtm_campaign=API-OFA,1/13/2025,0:22:00,2603.84,0.999993801,Neutral,0.63016516
"Sony Group Launches Soneium Mainnet, Says Layer-2 Blockchain Aims To Unlock New Possibilities for Creators",Positive,https://cryptopanic.com/news/20554578/Sony-Group-Launches-Soneium-Mainnet-Says-Layer-2-Blockchain-Aims-To-Unlock-New-Possibilities-for-Creators?mtm_campaign=API-OFA,1/15/2025,15:30:45,3451.52,0.992673695,Neutral,0.7622298
"Sony Group Launches Soneium Mainnet, Says Layer-2 Blockchain Aims To Unlock New Possibilities for Creators",Positive,https://cryptopanic.com/news/20554578/Sony-Group-Launches-Soneium-Mainnet-Says-Layer-2-Blockchain-Aims-To-Unlock-New-Possibilities-for-Creators?mtm_campaign=API-OFA,1/15/2025,15:30:45,2603.84,0.992673695,Neutral,0.7622298
Sony Just Launched an Ethereum Network—Will It Get PlayStation Games?,Neutral,https://cryptopanic.com/news/20566919/Sony-Just-Launched-an-Ethereum-NetworkWill-It-Get-PlayStation-Games?mtm_campaign=API-OFA,1/17/2025,20:23:12,3473.63,0.99990344,Bullish,0.624491334
"$3B in Bitcoin, Ethereum Options Expire as Trump Era Begins",Neutral,https://cryptopanic.com/news/20563473/3B-in-Bitcoin-Ethereum-Options-Expire-as-Trump-Era-Begins?mtm_campaign=API-OFA,1/17/2025,8:45:01,3473.63,0.99998939,Bullish,0.434695333
Sony Just Launched an Ethereum Network—Will It Get PlayStation Games?,Neutral,https://cryptopanic.com/news/20566919/Sony-Just-Launched-an-Ethereum-NetworkWill-It-Get-PlayStation-Games?mtm_campaign=API-OFA,1/17/2025,20:23:12,2603.84,0.99990344,Bullish,0.624491334
"$3B in Bitcoin, Ethereum Options Expire as Trump Era Begins",Neutral,https://cryptopanic.com/news/20563473/3B-in-Bitcoin-Ethereum-Options-Expire-as-Trump-Era-Begins?mtm_campaign=API-OFA,1/17/2025,8:45:01,2603.84,0.99998939,Bullish,0.434695333
Solana (SOL) Dominates Ethereum (ETH): Volatility Skyrockets,Neutral,https://cryptopanic.com/news/20571383/Solana-SOL-Dominates-Ethereum-ETH-Volatility-Skyrockets?mtm_campaign=API-OFA,1/19/2025,9:20:00,3215.12,0.999747455,Bullish,0.537927687
Solana (SOL) Dominates Ethereum (ETH): Volatility Skyrockets,Neutral,https://cryptopanic.com/news/20571383/Solana-SOL-Dominates-Ethereum-ETH-Volatility-Skyrockets?mtm_campaign=API-OFA,1/19/2025,9:20:00,2603.84,0.999747455,Bullish,0.537927687
TRUMP memecoin helps SOL price beat Ethereum — Solana&#039;s TVL jumps to $12B,Positive,https://cryptopanic.com/news/20576251/TRUMP-memecoin-helps-SOL-price-beat-Ethereum-Solana039s-TVL-jumps-to-12B?mtm_campaign=API-OFA,1/20/2025,13:20:03,3284,1,Neutral,0.636015773
TRUMP memecoin helps SOL price beat Ethereum — Solana&#039;s TVL jumps to $12B,Positive,https://cryptopanic.com/news/20576251/TRUMP-memecoin-helps-SOL-price-beat-Ethereum-Solana039s-TVL-jumps-to-12B?mtm_campaign=API-OFA,1/20/2025,13:20:03,2603.84,1,Neutral,0.636015773
"Ethereum Price Prediction: Bullish Outlook Could Push ETH to $14,000",Positive,https://cryptopanic.com/news/20580890/Ethereum-Price-Prediction-Bullish-Outlook-Could-Push-ETH-to-14000?mtm_campaign=API-OFA,1/21/2025,10:00:07,3327.54,0.999999642,Neutral,0.560376763
"Ethereum Foundation Weighs Staking to Fund Operations, Says Buterin",Neutral,https://cryptopanic.com/news/20580486/Ethereum-Foundation-Weighs-Staking-to-Fund-Operations-Says-Buterin?mtm_campaign=API-OFA,1/21/2025,8:42:22,3327.54,0.999963284,Bullish,0.51223737
"Ethereum Price Prediction: Bullish Outlook Could Push ETH to $14,000",Positive,https://cryptopanic.com/news/20580890/Ethereum-Price-Prediction-Bullish-Outlook-Could-Push-ETH-to-14000?mtm_campaign=API-OFA,1/21/2025,10:00:07,2603.84,0.999999642,Neutral,0.560376763
"Ethereum Foundation Weighs Staking to Fund Operations, Says Buterin",Neutral,https://cryptopanic.com/news/20580486/Ethereum-Foundation-Weighs-Staking-to-Fund-Operations-Says-Buterin?mtm_campaign=API-OFA,1/21/2025,8:42:22,2603.84,0.999963284,Bullish,0.51223737
"Ethereum Aims to Position ETH as the Cryptocurrency for Wall Street, According to Bloomberg",Neutral,https://cryptopanic.com/news/20595492/Ethereum-Aims-to-Position-ETH-as-the-Cryptocurrency-for-Wall-Street-According-to-Bloomberg?mtm_campaign=API-OFA,1/23/2025,16:26:33,3338.21,0.999968052,Bullish,0.606140554
"Cathie Wood won’t invest in Trump coin, will stick to the ‘big three’",Neutral,https://cryptopanic.com/news/20592901/Cathie-Wood-wont-invest-in-Trump-coin-will-stick-to-the-big-three?mtm_campaign=API-OFA,1/23/2025,9:01:12,3338.21,0.999981642,Neutral,0.895768344
Ethereum Launches Etherealize to Bridge Blockchain and Finance,Neutral,https://cryptopanic.com/news/20592630/Ethereum-Launches-Etherealize-to-Bridge-Blockchain-and-Finance?mtm_campaign=API-OFA,1/23/2025,8:14:44,3338.21,0.999945164,Neutral,0.715215981
"Ethereum Aims to Position ETH as the Cryptocurrency for Wall Street, According to Bloomberg",Neutral,https://cryptopanic.com/news/20595492/Ethereum-Aims-to-Position-ETH-as-the-Cryptocurrency-for-Wall-Street-According-to-Bloomberg?mtm_campaign=API-OFA,1/23/2025,16:26:33,2603.84,0.999968052,Bullish,0.606140554
"Cathie Wood won’t invest in Trump coin, will stick to the ‘big three’",Neutral,https://cryptopanic.com/news/20592901/Cathie-Wood-wont-invest-in-Trump-coin-will-stick-to-the-big-three?mtm_campaign=API-OFA,1/23/2025,9:01:12,2603.84,0.999981642,Neutral,0.895768344
Ethereum Launches Etherealize to Bridge Blockchain and Finance,Neutral,https://cryptopanic.com/news/20592630/Ethereum-Launches-Etherealize-to-Bridge-Blockchain-and-Finance?mtm_campaign=API-OFA,1/23/2025,8:14:44,2603.84,0.999945164,Neutral,0.715215981
"Cboe Pushes SEC for In-Kind Bitcoin, Ethereum ETF Changes",Neutral,https://cryptopanic.com/news/20614626/Cboe-Pushes-SEC-for-In-Kind-Bitcoin-Ethereum-ETF-Changes?mtm_campaign=API-OFA,1/28/2025,8:33:41,3077.72,0.999612272,Bullish,0.568887711
"Cboe Pushes SEC for In-Kind Bitcoin, Ethereum ETF Changes",Neutral,https://cryptopanic.com/news/20614626/Cboe-Pushes-SEC-for-In-Kind-Bitcoin-Ethereum-ETF-Changes?mtm_campaign=API-OFA,1/28/2025,8:33:41,2603.84,0.999612272,Bullish,0.568887711
Cboe Seeks SEC Approval for Ethereum ETF Options Amid Rising Demand,Positive,https://cryptopanic.com/news/20657241/Cboe-Seeks-SEC-Approval-for-Ethereum-ETF-Options-Amid-Rising-Demand?mtm_campaign=API-OFA,2/6/2025,8:40:02,2686.64,0.982218802,Neutral,0.726834297
Cboe Seeks SEC Approval for Ethereum ETF Options Amid Rising Demand,Positive,https://cryptopanic.com/news/20657241/Cboe-Seeks-SEC-Approval-for-Ethereum-ETF-Options-Amid-Rising-Demand?mtm_campaign=API-OFA,2/6/2025,8:40:02,2603.84,0.982218802,Neutral,0.726834297
BlackRock Silently Buying Ethereum—Why Are We Scared?,Negative,https://cryptopanic.com/news/20670198/BlackRock-Silently-Buying-EthereumWhy-Are-We-Scared?mtm_campaign=API-OFA,2/9/2025,1:30:00,2627.18,0.999854922,Bullish,0.571305513
BlackRock Silently Buying Ethereum—Why Are We Scared?,Negative,https://cryptopanic.com/news/20670198/BlackRock-Silently-Buying-EthereumWhy-Are-We-Scared?mtm_campaign=API-OFA,2/9/2025,1:30:00,2603.84,0.999854922,Bullish,0.571305513
Hong Kong Approves Bitcoin and Ethereum for Investment Immigration,Neutral,https://cryptopanic.com/news/20673803/Hong-Kong-Approves-Bitcoin-and-Ethereum-for-Investment-Immigration?mtm_campaign=API-OFA,2/10/2025,8:31:14,2661.19,0.999972582,Bullish,0.739667654
Hong Kong Approves Bitcoin and Ethereum for Investment Immigration,Neutral,https://cryptopanic.com/news/20673803/Hong-Kong-Approves-Bitcoin-and-Ethereum-for-Investment-Immigration?mtm_campaign=API-OFA,2/10/2025,8:31:14,2603.84,0.999972582,Bullish,0.739667654
Solana Outpacing Ethereum in Transaction Fees: Details,Neutral,https://cryptopanic.com/news/20697935/Solana-Outpacing-Ethereum-in-Transaction-Fees-Details?mtm_campaign=API-OFA,2/14/2025,15:25:00,2725.95,0.999975443,Bearish,0.429465115
"Billions in Bitcoin and Ethereum Options Expire, Market Braces for Volatility",Neutral,https://cryptopanic.com/news/20695829/Billions-in-Bitcoin-and-Ethereum-Options-Expire-Market-Braces-for-Volatility?mtm_campaign=API-OFA,2/14/2025,8:20:04,2725.95,0.999988675,Neutral,0.522152543
Solana Outpacing Ethereum in Transaction Fees: Details,Neutral,https://cryptopanic.com/news/20697935/Solana-Outpacing-Ethereum-in-Transaction-Fees-Details?mtm_campaign=API-OFA,2/14/2025,15:25:00,2603.84,0.999975443,Bearish,0.429465115
"Billions in Bitcoin and Ethereum Options Expire, Market Braces for Volatility",Neutral,https://cryptopanic.com/news/20695829/Billions-in-Bitcoin-and-Ethereum-Options-Expire-Market-Braces-for-Volatility?mtm_campaign=API-OFA,2/14/2025,8:20:04,2603.84,0.999988675,Neutral,0.522152543
WikiLeaks receives 711 ETH donation that warns of ‘mind control chips’,Neutral,https://cryptopanic.com/news/20708912/WikiLeaks-receives-711-ETH-donation-that-warns-of-mind-control-chips?mtm_campaign=API-OFA,2/17/2025,18:29:29,2744.05,0.999085307,Neutral,0.956073523
WikiLeaks receives 711 ETH donation that warns of ‘mind control chips’,Neutral,https://cryptopanic.com/news/20708912/WikiLeaks-receives-711-ETH-donation-that-warns-of-mind-control-chips?mtm_campaign=API-OFA,2/17/2025,18:29:29,2603.84,0.999085307,Neutral,0.956073523
Ethereum’s favorable risk-return ratio has traders ‘insanely bullish’ on ETH price,Positive,https://cryptopanic.com/news/20742027/Ethereums-favorable-risk-return-ratio-has-traders-insanely-bullish-on-ETH-price?mtm_campaign=API-OFA,2/24/2025,20:35:05,2513.52,0.999999881,Neutral,0.848960876
Sony-Backed L2 Soneium Crosses $45M TVL,Neutral,https://cryptopanic.com/news/20741585/Sony-Backed-L2-Soneium-Crosses-45M-TVL?mtm_campaign=API-OFA,2/24/2025,18:23:36,2513.52,0.999938011,Bullish,0.632217765
BlackRock moves $441 million in Bitcoin to Coinbase in the past hour,Neutral,https://cryptopanic.com/news/20756495/BlackRock-moves-441-million-in-Bitcoin-to-Coinbase-in-the-past-hour?mtm_campaign=API-OFA,2/27/2025,12:28:47,2307.72,0.999999166,Neutral,0.824873269
BlackRock moves $441 million in Bitcoin to Coinbase in the past hour,Neutral,https://cryptopanic.com/news/20756495/BlackRock-moves-441-million-in-Bitcoin-to-Coinbase-in-the-past-hour?mtm_campaign=API-OFA,2/27/2025,12:28:47,2603.84,0.999999166,Neutral,0.824873269
Ethereum Foundation officially announces new leadership,Positive,https://cryptopanic.com/news/20767503/Ethereum-Foundation-officially-announces-new-leadership?mtm_campaign=API-OFA,3/1/2025,21:09:52,2217.39,0.992716014,Neutral,0.615893185
Ethereum developer Danny Ryan joins Etherealize as co-founder,Neutral,https://cryptopanic.com/news/20767351/Ethereum-developer-Danny-Ryan-joins-Etherealize-as-co-founder?mtm_campaign=API-OFA,3/1/2025,19:05:53,2217.39,0.998914599,Neutral,0.537129462
"President Trump Reveals U.S. Crypto Reserve Bombshell — Sending BTC, ETH, Ripple’s XRP, Solana, And Cardano Rocketing",Neutral,https://cryptopanic.com/news/20770004/President-Trump-Reveals-US-Crypto-Reserve-Bombshell-Sending-BTC-ETH-Ripples-XRP-Solana-And-Cardano-Rocketing?mtm_campaign=API-OFA,3/2/2025,19:31:52,2518.11,0.999990702,Neutral,0.735193789
"Bitcoin Will Explode Over $120,000 on Monday as ETF Demand Skyrockets Amid Trump’s BTC Reserve Announcement",Negative,https://cryptopanic.com/news/20769674/Bitcoin-Will-Explode-Over-120000-on-Monday-as-ETF-Demand-Skyrockets-Amid-Trumps-BTC-Reserve-Announcement?mtm_campaign=API-OFA,3/2/2025,17:20:45,2518.11,0.997106969,Neutral,0.499169648
"Breaking: Trump Announces U.S. Crypto Strategic Reserve Including XRP, SOL, ADA, BTC, and ETH",Neutral,https://cryptopanic.com/news/20769643/Breaking-Trump-Announces-US-Crypto-Strategic-Reserve-Including-XRP-SOL-ADA-BTC-and-ETH?mtm_campaign=API-OFA,3/2/2025,17:11:40,2518.11,0.995677292,Neutral,0.534079611
Trump says Bitcoin and Ethereum will be included in US crypto reserve,Neutral,https://cryptopanic.com/news/20769569/Trump-says-Bitcoin-and-Ethereum-will-be-included-in-US-crypto-reserve?mtm_campaign=API-OFA,3/2/2025,16:46:55,2518.11,0.999987721,Neutral,0.651403427
"President Trump Reveals U.S. Crypto Reserve Bombshell — Sending BTC, ETH, Ripple’s XRP, Solana, And Cardano Rocketing",Neutral,https://cryptopanic.com/news/20770004/President-Trump-Reveals-US-Crypto-Reserve-Bombshell-Sending-BTC-ETH-Ripples-XRP-Solana-And-Cardano-Rocketing?mtm_campaign=API-OFA,3/2/2025,19:31:52,2518.11,0.999990702,Neutral,0.735193789
"Bitcoin Will Explode Over $120,000 on Monday as ETF Demand Skyrockets Amid Trump’s BTC Reserve Announcement",Negative,https://cryptopanic.com/news/20769674/Bitcoin-Will-Explode-Over-120000-on-Monday-as-ETF-Demand-Skyrockets-Amid-Trumps-BTC-Reserve-Announcement?mtm_campaign=API-OFA,3/2/2025,17:20:45,2518.11,0.997106969,Neutral,0.499169648
Trump says Bitcoin and Ethereum will be included in US crypto reserve,Neutral,https://cryptopanic.com/news/20769569/Trump-says-Bitcoin-and-Ethereum-will-be-included-in-US-crypto-reserve?mtm_campaign=API-OFA,3/2/2025,16:46:55,2518.11,0.999987721,Neutral,0.651403427
"President Trump Reveals U.S. Crypto Reserve Bombshell — Sending BTC, ETH, Ripple’s XRP, Solana, And Cardano Rocketing",Neutral,https://cryptopanic.com/news/20770004/President-Trump-Reveals-US-Crypto-Reserve-Bombshell-Sending-BTC-ETH-Ripples-XRP-Solana-And-Cardano-Rocketing?mtm_campaign=API-OFA,3/2/2025,19:31:52,2603.84,0.999990702,Neutral,0.735193789
"Bitcoin Will Explode Over $120,000 on Monday as ETF Demand Skyrockets Amid Trump’s BTC Reserve Announcement",Negative,https://cryptopanic.com/news/20769674/Bitcoin-Will-Explode-Over-120000-on-Monday-as-ETF-Demand-Skyrockets-Amid-Trumps-BTC-Reserve-Announcement?mtm_campaign=API-OFA,3/2/2025,17:20:45,2603.84,0.997106969,Neutral,0.499169648
Trump says Bitcoin and Ethereum will be included in US crypto reserve,Neutral,https://cryptopanic.com/news/20769569/Trump-says-Bitcoin-and-Ethereum-will-be-included-in-US-crypto-reserve?mtm_campaign=API-OFA,3/2/2025,16:46:55,2603.84,0.999987721,Neutral,0.651403427
Why XRP and ADA don’t deserve to be on Trump’s Strategic Crypto Reserve,Neutral,https://cryptopanic.com/news/20774538/Why-XRP-and-ADA-dont-deserve-to-be-on-Trumps-Strategic-Crypto-Reserve?mtm_campaign=API-OFA,3/3/2025,18:14:25,2149.01,0.99561125,Neutral,0.702865005
"Bybit Hackers Close to Laundering Stolen Funds, Criticism Mounts Over Delayed Response",Negative,https://cryptopanic.com/news/20771614/Bybit-Hackers-Close-to-Laundering-Stolen-Funds-Criticism-Mounts-Over-Delayed-Response?mtm_campaign=API-OFA,3/3/2025,8:31:05,2149.01,0.999837995,Neutral,0.719012022
"Bybit Hackers Close to Laundering Stolen Funds, Criticism Mounts Over Delayed Response",Negative,https://cryptopanic.com/news/20771614/Bybit-Hackers-Close-to-Laundering-Stolen-Funds-Criticism-Mounts-Over-Delayed-Response?mtm_campaign=API-OFA,3/3/2025,8:31:05,2149.01,0.999837995,Neutral,0.719012022
"Bybit Hackers Close to Laundering Stolen Funds, Criticism Mounts Over Delayed Response",Negative,https://cryptopanic.com/news/20771614/Bybit-Hackers-Close-to-Laundering-Stolen-Funds-Criticism-Mounts-Over-Delayed-Response?mtm_campaign=API-OFA,3/3/2025,8:31:05,2603.84,0.999837995,Neutral,0.719012022
Cardano Rallies 43% In Seven Days: What Is Going On With ADA?,Neutral,https://cryptopanic.com/news/20780686/Cardano-Rallies-43-In-Seven-Days-What-Is-Going-On-With-ADA?mtm_campaign=API-OFA,3/4/2025,20:03:51,2171.51,0.999987364,Neutral,0.545808136
"US Government Will Only Buy Bitcoin, Not ETH, XRP, SOL and ADA",Neutral,https://cryptopanic.com/news/20784163/US-Government-Will-Only-Buy-Bitcoin-Not-ETH-XRP-SOL-and-ADA?mtm_campaign=API-OFA,3/5/2025,12:10:39,2241.59,0.9998914,Bullish,0.519283772
"XRP: 24% Retrace is Mind-Blowing, Ethereum (ETH) Looks Even Worse Than Before, Cardano (ADA): Biggest Volatility Surge in Years",Negative,https://cryptopanic.com/news/20781362/XRP-24-Retrace-is-Mind-Blowing-Ethereum-ETH-Looks-Even-Worse-Than-Before-Cardano-ADA-Biggest-Volatility-Surge-in-Years?mtm_campaign=API-OFA,3/5/2025,0:01:00,2241.59,0.999100924,Neutral,0.518968046
"US Government Will Only Buy Bitcoin, Not ETH, XRP, SOL and ADA",Neutral,https://cryptopanic.com/news/20784163/US-Government-Will-Only-Buy-Bitcoin-Not-ETH-XRP-SOL-and-ADA?mtm_campaign=API-OFA,3/5/2025,12:10:39,2241.59,0.9998914,Bullish,0.519283772
Ethereum Whales Accumulate Millions of Tokens: ETH Price Surge on the Way?,Neutral,https://cryptopanic.com/news/20795384/Ethereum-Whales-Accumulate-Millions-of-Tokens-ETH-Price-Surge-on-the-Way?mtm_campaign=API-OFA,3/7/2025,14:30:12,2141.6,0.993862391,Neutral,0.514486253
Ethereum Whales Accumulate Millions of Tokens: ETH Price Surge on the Way?,Neutral,https://cryptopanic.com/news/20795384/Ethereum-Whales-Accumulate-Millions-of-Tokens-ETH-Price-Surge-on-the-Way?mtm_campaign=API-OFA,3/7/2025,14:30:12,2141.6,0.993862391,Neutral,0.514486253
Ethereum Whales Accumulate Millions of Tokens: ETH Price Surge on the Way?,Neutral,https://cryptopanic.com/news/20795384/Ethereum-Whales-Accumulate-Millions-of-Tokens-ETH-Price-Surge-on-the-Way?mtm_campaign=API-OFA,3/7/2025,14:30:12,2141.6,0.993862391,Neutral,0.514486253
Ethereum Whales Accumulate Millions of Tokens: ETH Price Surge on the Way?,Neutral,https://cryptopanic.com/news/20795384/Ethereum-Whales-Accumulate-Millions-of-Tokens-ETH-Price-Surge-on-the-Way?mtm_campaign=API-OFA,3/7/2025,14:30:12,2603.84,0.993862391,Neutral,0.514486253
"BTC, ETH, XRP Lead $334.99M Crypto Liquidation, Key Trends To Watch?",Neutral,https://cryptopanic.com/news/20801596/BTC-ETH-XRP-Lead-33499M-Crypto-Liquidation-Key-Trends-To-Watch?mtm_campaign=API-OFA,3/9/2025,16:36:00,2020.41,0.998839676,Neutral,0.598916709
